title,originalTitle,description,genre
Nietykalni,Intouchables,"Sparaliżowany milioner zatrudnia do opieki młodego chłopaka z przedmieścia, który właśnie wyszedł z więzienia.",Biograficzny / Dramat / Komedia
Ojciec chrzestny,The Godfather,Opowieść o nowojorskiej rodzinie mafijnej. Starzejący się Don Corleone pragnie przekazać władzę swojemu synowi.,Dramat / Gangsterski
Szósty zmysł,The Sixth Sense,Psycholog dziecięcy próbuje pomóc ośmioletniemu chłopcu widzącemu zmarłych poradzić sobie z tym niezwykłym darem.,Thriller
Incepcja,Inception,"Czasy, gdy technologia pozwala na wchodzenie w świat snów. Złodziej Cobb ma za zadanie wszczepić myśl do śpiącego umysłu.",Surrealistyczny / Thriller / Sci-Fi
Siedem,Se7en,Dwóch policjantów stara się złapać seryjnego mordercę wybierającego swoje ofiary według specjalnego klucza - siedmiu grzechów głównych.,Kryminał / Thriller
Wyspa tajemnic,Shutter Island,"Szeryf federalny Daniels stara się dowiedzieć, jakim sposobem z zamkniętej celi w pilnie strzeżonym szpitalu dla chorych psychicznie przestępców zniknęła pacjentka.",Dramat / Thriller
Pianista,The Pianist,"Podczas drugiej wojny światowej Władysław Szpilman, znakomity polski pianista, stara się przeżyć w okupowanej Warszawie. ",Biograficzny / Dramat / Wojenny
Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,"Podróż hobbita z Shire i jego ośmiu towarzyszy, której celem jest zniszczenie potężnego pierścienia pożądanego przez Czarnego Władcę - Saurona. ",Fantasy / Przygodowy
Piraci z Karaibów: Klątwa Czarnej Perły,Pirates of the Caribbean: The Curse of the Black Pearl,"Kowal Will Turner sprzymierza się z kapitanem Jackiem Sparrowem, by odzyskać swoją miłość - porwaną córkę gubernatora.",Fantasy / Przygodowy
Kac Vegas,The Hangover,"Czterech przyjaciół spędza wieczór kawalerski w Las Vegas. Następnego dnia okazuje się, że zgubili pana młodego i nic nie pamiętają.",Komedia
Siedem dusz,Seven Pounds,"Mężczyzna przedstawiający się jako urzędnik podatkowy pojawia się w domach siedmiu śmiertelnie chorych dłużników, by sprawdzić jakimi są ludźmi. Ma dla nich niezwykły dar.",Dramat
Bękarty wojny,Inglourious Basterds,W okupowanej przez nazistów Francji oddział złożony z Amerykanów żydowskiego pochodzenia planuje zamach na Hitlera.,Wojenny
Lista Schindlera,Schindler's List,"Historia przedsiębiorcy Oskara Schindlera, który podczas II wojny światowej uratował przed pobytem w obozach koncentracyjnych 1100 Żydów.",Dramat / Wojenny
Piękny umysł,A Beautiful Mind,"Geniusz matematyczny John Nash za wszelką cenę pragnie opracować teorię, dzięki której zostanie cenionym naukowcem. Przeszkodą staje się jego stopniowo rozwijająca choroba.",Biograficzny / Dramat
Slumdog. Milioner z ulicy,Slumdog Millionaire,"Opowieść o młodym chłopaku, który bierze udział w hinduskiej edycji ""Milionerów"".",Dramat
Cast Away - poza światem,Cast Away,"W wyniku katastrofy lotniczej inżynier firmy kurierskiej trafia na bezludną wyspę, gdzie musi przeżyć.",Dramat
Seksmisja,,"W roku 2044 zostają odhibernowani dwaj ostatni przedstawiciele płci męskiej, wprowadzając chaos do idealnego świata rządzonego przez Ligę Kobiet.",Komedia / Sci-Fi
American Beauty,,Przechodzący kryzys wieku średniego mieszkaniec przedmieść Lester Burnham zakochuje się w koleżance swojej nastoletniej córki.,Dramat / Komedia
Dzień świra,,"Adaś Miauczyński, 49-letni rozwiedziony polonista, żyje w kręgu swoich natręctw, nie potrafiąc wyrwać się z nudy i rutyny dnia codziennego.",Dramat / Komedia / Psychologiczny
Ciekawy przypadek Benjamina Buttona,The Curious Case of Benjamin Button,"Historia Benjamina Buttona, który zamiast starzeć się - młodniał.",Fantasy / Melodramat
Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest,"Historia złodzieja, szulera i chuligana, który, by uniknąć więzienia, udaje niepoczytalność. Trafia do szpitala dla umysłowo chorych, gdzie twardą ręką rządzi siostra Ratched.",Dramat / Psychologiczny
Efekt motyla,The Butterfly Effect,"Evan, który potrafi podróżować w czasie, przekona się, że nawet najdrobniejsza zmiana w przeszłości ma kolosalny wpływ na teraźniejszość.",Thriller / Sci-Fi
Gran Torino,,"Walt Kowalski to emerytowany weteran żyjący we własnym poukładanym świecie. Jego spokój zostaje zburzony przez nowych sąsiadów z Azji, których syn spróbuje ukraść mu ulubione auto.",Dramat
Lśnienie,The Shining,Jack podejmuje pracę stróża odciętego od świata hotelu Overlook. Wkrótce idylla zamienia się w koszmar. ,Horror
Kod da Vinci,The Da Vinci Code,Ekranizacja powieści Dana Browna. Tajemnicze morderstwo w Luwrze staje się kluczem do rozwiązania jednej z największych zagadek strzeżonych przez tajemnicze stowarzyszenie.,Thriller
Django,Django Unchained,"Łowca nagród Schultz i czarnoskóry niewolnik Django wyruszają w podróż, aby odbić żonę tego drugiego z rąk bezlitosnego Calvina Candie'ego.",Western
Mroczny Rycerz,The Dark Knight,"Batman, z pomocą porucznika Gordona oraz prokuratora Harveya Denta, występuje przeciwko przerażającemu i nieobliczalnemu Jokerowi, który chce pogrążyć Gotham City w chaosie.",Akcja / Sci-Fi
Truman Show,The Truman Show,"Truman Burbank odkrywa, że jest głównym bohaterem reality show nadawanego 24 godziny na dobę.",Dramat / Komedia / Sci-Fi
Zapach kobiety,Scent of a Woman,Niewidomy emerytowany pułkownik Frank Slade staje się najlepszym nauczycielem życia dla nieśmiałego studenta.,Dramat
Król Lew,The Lion King,"Targany niesłusznymi wyrzutami sumienia po śmierci ojca mały lew Simba skazuje się na wygnanie, rezygnując z przynależnego mu miejsca na czele stada.",Animacja / Familijny
Adwokat diabła,The Devil's Advocate,"Kevin Lomax - wybitny adwokat, skuszony intratną propozycją pracy, przeprowadza się do Nowego Jorku. Nie zdaje sobie jednak sprawy z tego, kim jest jego chlebodawca.",Thriller
Prestiż,The Prestige,"Dwaj młodzi iluzjoniści żyją w przyjaznych stosunkach. Gdy ginie żona jednego z nich, mężczyźni stają się śmiertelnymi wrogami. ",Dramat / Thriller
Chłopiec w pasiastej piżamie,The Boy in the Striped Pyjamas,Ośmioletni syn niemieckiego oficera SS zaprzyjaźnia się z żydowskim chłopcem przebywającym w obozie.,Dramat / Wojenny
Wilk z Wall Street,The Wolf of Wall Street,"Historia Jordana Belforta, brokera, którego błyskawiczna droga na szczyt i rozrzutny styl życia wzbudziły zainteresowanie FBI.",Biograficzny / Komedia kryminalna
Jestem legendą,I Am Legend,"Tajemniczy wirus wymordował lub zamienił w krwiożercze bestie prawie całą ludzkość. Samotny naukowiec Robert Neville poszukuje szczepionki, by odwrócić mutację.",Horror / Sci-Fi
Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,"Zwieńczenie filmowej trylogii wg powieści Tolkiena. Aragorn jednoczy siły Śródziemia, szykując się do bitwy, która ma odwrócić uwagę Saurona od podążających w kierunku Góry Przeznaczenia hobbitów.",Fantasy / Przygodowy
Więzień nienawiści,American History X,"Były neonazista po wyjściu z więzienia stara się przekonać młodszego brata, by nie podążał jego śladem.",Dramat
Sherlock Holmes,,Najsłynniejszy detektyw Sherlock Holmes z nieodłącznym przyjacielem dr. Watsonem szukają sprawcy rytualnych morderstw.,Kryminał / Przygodowy
Interstellar,,"Byt ludzkości na Ziemi dobiega końca wskutek zmian klimatycznych. Grupa naukowców odkrywa tunel czasoprzestrzenny, który umożliwia poszukiwanie nowego domu.",Sci-Fi
Edward Nożycoręki,Edward Scissorhands,"Delikatny chłopak-cyborg, który zamiast dłoni ma nożyce, nagle zostaje bez opieki swojego twórcy. W pobliskim miasteczku poznaje nastolatkę, a potem zakochuje się w niej.",Dramat / Fantasy
Władca Pierścieni: Dwie wieże,The Lord of the Rings: The Two Towers,"Drużyna Pierścienia zostaje rozbita, lecz zdesperowany Frodo za wszelką cenę chce wypełnić powierzone mu zadanie. Aragorn z towarzyszami przygotowuje się, by odeprzeć atak hord Sarumana.",Fantasy / Przygodowy
Infiltracja,The Departed,Tajny policjant w szeregach grupy przestępczej i informator mafii w bostońskiej jednostce dochodzeniowej toczą ze sobą śmiertelną rozgrywkę.,Kryminał
Co gryzie Gilberta Grape'a,What's Eating Gilbert Grape,"Gilbert wiedzie nudne życie zajmując się swoim chorym umysłowo bratem, dwiema siostrami i otyłą matką. Dopiero poznanie Becky odmieni jego życie.",Dramat
Stowarzyszenie Umarłych Poetów,Dead Poets Society,"Charyzmatyczny nauczyciel języka angielskiego w konserwatywnym liceum stara się wpoić uczniom miłość do poezji i ideę ""carpe diem"".",Dramat
Życie jest piękne,La vita è bella,"Zamknięty w obozie koncentracyjnym wraz z synem Guido próbuje przekonać chłopca, że okrutna rzeczywistość jest jedynie formą zabawy dla dorosłych.",Dramat / Komedia / Wojenny
Bruce Wszechmogący,Bruce Almighty,"Reporter, który narzekał nadmiernie na Boga, otrzymuje jego moc i przekona się, że nie łatwo jest rządzić światem.",Fantasy / Komedia
Wszystko za życie,Into the Wild,"Christopher kończy studia, ale zamiast poświęcić się karierze zawodowej, wyrusza autostopem w kierunku Alaski. ",Biograficzny / Dramat / Przygodowy
Pamiętnik,The Notebook,Stary mężczyzna czyta chorej na Alzheimera kobiecie pamiętnik opisujący historię miłości dziewczyny z zamożnego domu i ubogiego pracownika tartaku. ,Melodramat
Braveheart - Waleczne Serce,Braveheart,Żona Williama Wallace'a zostaje zamordowana przez angielskich żołnierzy. Zrozpaczony Szkot mści się na oprawcach i prowadzi rodaków do walki o odzyskanie wolności. ,Dramat historyczny
Epoka lodowcowa,Ice Age,"W czasie wielkiej migracji zwierząt tygrys szablozębny, mamut i leniwiec starają się oddać ludzkie dziecko jego plemieniu.",Animacja / Komedia / Przygodowy
Bogowie,,"Profesor Zbigniew Religa, utalentowany kardiochirurg wierzy, że jest w stanie dokonać przeszczepu serca. Nie poddaje się mimo wielu nieudanych operacji.",Biograficzny / Dramat
Filadelfia,Philadelphia,"Chorujący na AIDS prawnik zostaje zwolniony z pracy. Walcząc o godność, podaje do sądu byłych pracodawców.",Dramat
Czarny łabędź,Black Swan,"Ambitna tancerka bierze udział w walce o główna rolę w spektaklu ""Jezioro łabędzie"". Jest gotowa wiele poświęcić, by osiągnąć cel. ",Dramat / Psychologiczny
Chłopcy z ferajny,Goodfellas,Kilkunastoletni Henry i Tommy DeVito trafiają pod opiekę potężnego gangstera. Obaj szybko uczą się panujących w mafii reguł.,Dramat / Gangsterski
Marzyciel,Finding Neverland,"Historia przyjaźni pisarza Jamesa Barriego z wdową i jej czterema synami, którzy zainspirowali go do napisania ""Piotrusia Pana"".",Dramat
Hooligans,,Matt Buckner po wyrzuceniu ze studiów przyjeżdża do siostry mieszkającej w Londynie. Tam wchodzi w środowisko kibiców lokalnych klubów piłkarskich.,Dramat
Kiler,,"Jerzy Kiler, warszawski taksówkarz, przypadkowo zostaje wzięty za płatnego zabójcę i umieszczony w areszcie. Wyciąga go stamtąd boss świata przestępczego, który oferuje mu nowe zadanie.",Komedia / Sensacyjny
Hobbit: Niezwykła podróż,The Hobbit: An Unexpected Journey,"Hobbit Bilbo Baggins, przy udziale czarodzieja Gandalfa, dołącza do kompanii krasnoludów pod dowództwem Thorina Dębowej Tarczy. Celem ich wyprawy jest wydarcie Samotnej Góry i jej bogactw spod władzy smoka Smauga. ",Fantasy / Przygodowy
Sekretne okno,Secret Window,"Uznany pisarz przenosi się na prowincję, by w spokoju tworzyć kolejne książki. Wkrótce odwiedzi go tajemniczy mężczyzna, który oskarży Raineya o plagiat.",Thriller
Za wszelką cenę,Million Dollar Baby,Trzydziestolatka prosi emerytowanego trenera o pomoc w osiągnięciu sukcesu na ringu boksu zawodowego.,Dramat
Dziewczyna z tatuażem,The Girl with the Dragon Tattoo,Ekranizacja powieści Stiega Larssona. Dziennikarz oskarżony o zniesławienie otrzymuje zlecenie zbadania zaginięcia przed 40 laty 16-letniej Harriet Vanger.,Kryminał / Thriller
Hannibal,,"Dr Hannibal Lecter wraca do Ameryki, by odnowić kontakt z agentką Starling. Jego śladem podąża okaleczony przez niego i pałający żądzą zemsty Mason Verger. ",Thriller
Buntownik z wyboru,Good Will Hunting,"Will, matematyczny geniusz gardzący formalnym wykształceniem, zostaje oskarżony o pobicie policjanta. Profesor MIT, świadomy talentu chłopaka, proponuje mu, aby w zamian za zwolnienie z aresztu podjął naukę i terapię psychologiczną. ",Dramat obyczajowy
Pan życia i śmierci,Lord of War,"Jurij Orłow, będąc świadkiem morderstwa, zostaje handlarzem bronią. Prowadząc swoją działalność, nieustannie ucieka przed agentem Interpolu, Jackiem Valentinem.",Dramat
Człowiek z blizną,Scarface,"Rok 1980. Pochodzący z Kuby przestępca, Tony Montana, tworzy w Miami narkotykowe imperium. ",Dramat / Gangsterski
Mr. &amp; Mrs. Smith,,Para płatnych zabójców pracujących dla dwóch tajnych agencji wiedzie monotonne małżeńskie życie. Niespodziewanie dostają zlecenie na siebie nawzajem.,Akcja
Chłopaki nie płaczą,,"Kuba, młody skrzypek, trafia w sam środek gangsterskich porachunków.",Komedia / Sensacyjny
Whiplash,,Młody i ambitny perkusista za wszelką cenę pragnie dołączyć do czołówki najwybitniejszych artystów muzyki jazzowej.,Dramat / Muzyczny
Dwunastu gniewnych ludzi,12 Angry Men,Dwunastu przysięgłych ma wydać wyrok w procesie o morderstwo. Jeden z nich ma wątpliwości dotyczące winy oskarżonego.,Dramat sądowy
Mechaniczna pomarańcza,A Clockwork Orange,"Alex DeLarge wraz ze swoim gangiem sieje spustoszenie na ulicach. Kiedy trafia do więzienia, otrzymuje propozycję odmiany swojego życia.",Dramat / Sci-Fi
Zaginiona dziewczyna,Gone Girl,"W dniu piątej rocznicy ślubu Nick Dunne zgłasza policji, że jego żona zaginęła. Wraz upływem czasu i postępami śledztwa coraz więcej poszlak zaczyna go obciążać. ",Thriller
Pachnidło: Historia mordercy,Perfume: The Story of a Murderer,Ekranizacja powieści Patricka Süskinda. Obdarzony genialnym węchem Jean-Baptiste Grenouille pragnie stworzyć najpiękniejsze pachnidło na świecie.,Dramat / Thriller
V jak Vendetta,V for Vendetta,"W totalitarnej Anglii jedyną osobą walczącą o wolność jest bojownik przebrany za Guya Fawkesa – V, który pewnego dnia uwalnia z rąk agentów rządowych młodą kobietę.",Thriller / Sci-Fi
Iluzjonista,The Illusionist,"Wiedeń u progu XX w. Syn rzemieślnika, iluzjonista Eisenheim, wykorzystuje niezwykłe umiejętności, by zdobyć miłość arystokratki, narzeczonej austro-węgierskiego księcia.",Fantasy / Kostiumowy
Jak zostać królem,The King's Speech,Jest rok 1939. Jąkający się król Jerzy VI nie może przemawiać do ludu. Pomocy szuka u niekonwencjonalnego specjalisty od dykcji.,Biograficzny / Dramat historyczny
300,,Opowieść o jednej z najsłynniejszych bitew w dziejach. Garstka Spartan staje przeciwko perskiej potędze.,Dramat historyczny
K-PAX,,"Prot, pacjent szpitala psychiatrycznego, wierzy, że pochodzi z odległej planety K-PAX. Doktor Mark Powell stara się mu udowodnić, że nie jest to możliwe, ale wkrótce sam zaczyna mieć wątpliwości.",Dramat
Przerwana lekcja muzyki,"Girl, Interrupted",Susanna poznaje Lisę w zakładzie psychiatrycznym. Od niej uczy się akceptacji siebie. ,Biograficzny / Dramat / Psychologiczny
Harry Potter i Kamień Filozoficzny,Harry Potter and the Sorcerer's Stone,"W dniu jedenastych urodzin Harry dowiaduje się, że jest czarodziejem. Czeka na niego szkoła magii pełna tajemnic. ",Familijny / Fantasy / Przygodowy
"Złap mnie, jeśli potrafisz",Catch Me If You Can,"Oparta na faktach historia młodego fałszerza, który w latach 60., podając się za pilotów, lekarzy i profesorów, wyłudził z banków ponad 2,5 mln dolarów.",Komedia kryminalna
Donnie Darko,,"Donnie Darko, uważany za nastolatka z zaburzeniami osobowości, spotyka Franka - tajemniczą postać w kostiumie królika, która zaczyna manipulować jego życiem. ",Dramat
Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest,"Jack Sparrow musi spłacić dług zaciągnięty wobec kapitana Latającego Holendra. Uniknie śmierci, gdy znajdzie i zniszczy serce Davy'ego Jonesa ukryte w Skrzyni Umarlaka.",Fantasy / Przygodowy
Taksówkarz,Taxi Driver,"Nowojorski taksówkarz Travis Bickle podczas nocnej zmiany poznaje młodocianą prostytutkę, której pragnie pomóc. ",Dramat
W pogoni za szczęściem,The Pursuit of Happyness,"Film oparty na faktach. Chris, samotny ojciec pozbawiony domu, stara się mimo przeciwności losu o posadę w biurze maklerskim.",Biograficzny / Dramat obyczajowy
Alicja w Krainie Czarów,Alice in Wonderland,"Dziewiętnastoletnia Alicja wraca do krainy z dzieciństwa, gdzie dowiaduje się, że jej przeznaczeniem jest zdetronizować Królową Kier.",Familijny / Fantasy / Przygodowy
Jestem Bogiem,Limitless,"Cierpiący na brak weny pisarz, Eddie, zaczyna stosować narkotyk, który zwiększa jego potencjał intelektualny. Dzięki używce mężczyzna odnosi sukcesy. ",Thriller / Sci-Fi
Diabeł ubiera się u Prady,The Devil Wears Prada,"Początkująca dziennikarka wkracza do świata mody, dostając pracę asystentki redaktor naczelnej czasopisma „Runaway” - Mirandy Priestley, która trzęsie całym światem haute couture.",Dramat / Komedia
Kill Bill,Kill Bill: Vol. 1,"Zawodowa morderczyni realizuje plan zemsty na dawnych kompanach, którzy chcieli ją zabić.",Thriller / Akcja
Krwawy diament,Blood Diamond,"Przemytnik z RPA i rybak z ludu Mende wyruszają na poszukiwanie różowego diamentu, który mógłby zmienić ich życie. Tłem akcji jest wojna domowa w Sierra Leone w latach 90. XX wieku.",Dramat
Kevin sam w domu,Home Alone,Przez świąteczny pośpiech ośmioletni Kevin zostaje sam w domu na Boże Narodzenie.,Familijny / Komedia / Świąteczny
Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles,"Historia wdowca, który by przestać cierpieć, zostaje przemieniony w wampira. Jego charakter nie pozwala mu zabijać ludzi z zimną krwią, ale nie jest na tyle silny, by wybrać samobójstwo.",Dramat / Horror
Harry Potter i więzień Azkabanu,Harry Potter and the Prisoner of Azkaban,"Z więzienia ucieka Syriusz Black, Harry nie może już czuć się bezpiecznie w szkole. ",Familijny / Fantasy / Przygodowy
Ojciec chrzestny II,The Godfather: Part II,Rok 1917. Młody Vito Corleone stawia pierwsze kroki w mafijnym świecie Nowego Jorku. Ponad 40 lat później jego syn Michael walczy o interesy i dobro rodziny.,Dramat / Gangsterski
To nie jest kraj dla starych ludzi,No Country for Old Men,"Gdy&nbsp;Llewelyn Moss znajduje walizkę zawierającą gotówkę, nie spodziewa się, że ściągnie na siebie niebezpieczeństwo w postaci psychopatycznego zabójcy,&nbsp;Antona Chigurha.",Dramat / Thriller
Służące,The Help,Lata 60. XX wieku. Początkująca dziennikarka spisuje historie czarnoskórych służących wywołując skandal wśród wyższych sfer. ,Dramat
Harry Potter i Czara Ognia,Harry Potter and the Goblet of Fire,"Harry Potter musi wziąć udział w Turnieju Trójmagicznym, kiedy jego nazwisko zostaje wybrane przez tajemniczą Czarę Ognia.",Familijny / Fantasy / Przygodowy
Deadpool,,"Były żołnierz oddziałów specjalnych zostaje poddany niebezpiecznemu eksperymentowi. Niebawem uwalnia swoje alter ego i rozpoczyna polowanie na człowieka, który niemal zniszczył jego życie. ",Komedia / Akcja / Sci-Fi
Uprowadzona,Taken,"Bryan, były agent służb specjalnych, rusza do Paryża, by ratować swoją 17-letnią córkę porwaną przez gang handlujący kobietami.",Sensacyjny
Piraci z Karaibów: Na krańcu świata,Pirates of the Caribbean: At World's End,"Will Turner i Elizabeth Swan wyruszają w podróż na kraniec świata, by uratować kapitana Jacka Sparrowa z pułapki Davy'ego Jonesa.",Fantasy / Przygodowy
Zjawa,The Revenant,"Ranny po ataku niedźwiedzia&nbsp;Hugh&nbsp;Glass jest świadkiem zabójstwa swojego syna. Pozostawiony przez mordercę na pewną śmierć, postanawia się zemścić za wszelką cenę.",Dramat / Przygodowy / Western
Labirynt,Prisoners,Sześcioletnia córka Kellera Dovera i jej koleżanka zostają uprowadzone. Zirytowany bezradnością policji ojciec bierze sprawy w swoje ręce.,Thriller
Iluzja,Now You See Me,Arcymistrzowie estradowych sztuczek wykorzystują iluzję do rabowania banków.,Kryminał
Helikopter w ogniu,Black Hawk Down,"Oparty na faktach film opowiada o nieudanej akcji amerykańskiego oddziału 120 Delta, który miał za zadanie porwać dwóch poruczników zbuntowanych wojsk Somalii.",Dramat / Wojenny
Miś,,"Pełne paradoksów i komizmu życie prezesa klubu sportowego ""Tęcza"" w czasach PRL-u.",Komedia
Batman - Początek,Batman Begins,"Historia milionera Bruce'a Wayne'a, który przemienia się w Batmana – postrach przestępców Gotham City.",Akcja / Sci-Fi
Igrzyska śmierci,The Hunger Games,"Nastoletnia Katniss Everdeen walczy na śmierć i życie w głodowych igrzyskach, aby ochronić siostrę. ",Akcja / Sci-Fi
Poradnik pozytywnego myślenia,Silver Linings Playbook,"Pat Solitano, po tym jak stracił pracę, dom oraz żonę, spędził w szpitalu psychiatrycznym kilka miesięcy. Wrócić do społeczeństwa pomagają mu rodzice, przyjaciele i piękna dziewczyna. ",Dramat / Komedia
Iron Man,,Tony Stark buduje supernowoczesną zbroję. Multimiliarder postanawia walczyć ze złem jako Iron Man.,Akcja / Sci-Fi
Madagaskar,Madagascar,"Lew, zebra, hipopotam i żyrafa zostają wysłane statkiem z nowojorskiego zoo do Afryki. Pośrodku oceanu ich klatki wypadają za burtę pokładu, w wyniku czego zwierzęta lądują na brzegu egzotycznej wyspy.",Animacja / Familijny
Przełęcz ocalonych,Hacksaw Ridge,Schyłek II wojny światowej. Podczas krwawej bitwy o Okinawę amerykański sanitariusz odmawia noszenia broni i zabijania z powodów moralnych. ,Biograficzny / Dramat / Wojenny
Trainspotting,,Narkoman Mark Renton postanawia zerwać z nałogiem. Jednak jego kumple tak łatwo na to nie pozwolą. ,Dramat
Amelia,Le fabuleux destin d'Amélie Poulain,"Żyjąca sama w wielkim Paryżu Amelia postanawia, że będzie uszczęśliwiać ludzi.",Dramat / Komedia rom.
Choć goni nas czas,The Bucket List,"Historia dwóch umierających mężczyzn, którzy pod wpływem szalonych przygód zostają przyjaciółmi.",Dramat / Komedia
1408,,"Adaptacja opowiadania Stephena Kinga. Mike Enslin, autor książek o zjawiskach paranormalnych, próbuje podważyć mit pokoju nr 1408.",Horror
Grand Budapest Hotel,The Grand Budapest Hotel,"Konsjerż słynnego hotelu zawiera znajomość z młodym pracownikiem, który zostaje jego zaufanym protegowanym.",Dramat / Komedia
Przekręt,Snatch.,"Historia złożona z kilku gangsterskich opowieści, które splatają się wokół kradzieży drogocennego diamentu.",Komedia kryminalna
Blow,,"Skromny syn robotnika staje się narkotykowym baronem. Pieniądze, władza, kobiety cieszą go jednak do czasu. ",Biograficzny / Dramat / Kryminał
Gra,The Game,"W dniu 48. urodzin Nicholas Van Orton zostaje zaproszony do tajemniczej gry, która odmienia jego monotonne życie.",Thriller
Piąty element,The Fifth Element,"Nowy Jork w XXIII w., były komandos Korben Dallas wplątany zostaje w misję ratowania świata przed siłami zła absolutnego objawiającymi się raz na pięć tysięcy lat.",Akcja / Sci-Fi
Teoria wszystkiego,The Theory of Everything,"Film opowiada historię genialnego naukowca Stephena Hawkinga - rozwoju jego choroby, rodzącego się uczucia do Jane, a w końcu rozpadu ich małżeństwa. ",Biograficzny / Dramat
Mroczny Rycerz powstaje,The Dark Knight Rises," Po ośmiu latach nieobecności Batman wraca, by uratować Gotham City przed zamaskowanym terrorystą Bane'em.",Akcja / Sci-Fi
American Pie,,Grupa licealistów pragnie do końca szkoły stracić dziewictwo i wkroczyć na studia jako pełnoprawni mężczyźni. Nie jest to jednak łatwe zadanie.,Komedia
Harry Potter i Insygnia Śmierci: Część II,Harry Potter and the Deathly Hallows: Part 2,"Młody czarodziej musi zniszczyć wszystkie horkruksy, aby ostatecznie pokonać Voldemorta. ",Familijny / Fantasy / Przygodowy
Hobbit: Pustkowie Smauga,The Hobbit: The Desolation of Smaug,Bilbo Baggins i kompania krasnoludów pod dowództwem Thorina Dębowej Tarczy kontynuują marsz w kierunku Samotnej Góry. Tymczasem Gandalf sprawdza pogłoski o siłach zła zamieszkujących twierdzę Dol Guldur. ,Fantasy / Przygodowy
Charlie i fabryka czekolady,Charlie and the Chocolate Factory,"Ubogi Charlie Bucket znajduje jeden z pięciu złotych biletów, który umożliwia mu zwiedzenie ogromnej fabryki czekolady.",Familijny / Fantasy
Symetria,,Młody mężczyzna zostaje niesłusznie skazany za rzekomą napaść na staruszkę. W więzieniu stara się dołączyć do grupy grypsujących. ,Dramat
Sin City - Miasto grzechu,Sin City,"Trzy historie, których akcja rozgrywa się w Basin City - Mieście Grzechu - będącym siedliskiem prostytutek, przestępców i skorumpowanych obrońców prawa.",Kryminał
Avengers,The Avengers,"Grupa superbohaterów, na czele z Thorem, Iron Manem i Hulkiem, łączy siły, by obronić Ziemię przed inwazją kosmitów.",Akcja / Sci-Fi
Pokój,Room,"Pięcioletni Jack od urodzenia mieszka z mamą w niewielkim pomieszczeniu, które nazywają Pokojem. Chłopiec nie zdaje sobie sprawy, że istnieje świat na zewnątrz. ",Dramat
Joe Black,Meet Joe Black,Śmierć pod pseudonimem Joe Black zjawia się po Williama. Nieoczekiwanie zakochuje się w jego córce. ,Fantasy / Melodramat
