title,description,genre
the indian fighter," Johnny Hawks, a former Indian fighter, returns to the West after the Civil War. He reacquaints himself with the Indian band led by Red Cloud. Red Cloud's beautiful daughter has now grown into womanhood... Unscrupulous whisky traders are after the gold on Indian land. Hawks averts serious bloodshed by convincing Red Cloud to make a treaty... Hawks leads an Oregon-bound wagon train through Indian territory. When he slips away to see the chief's daughter, trouble between braves and whisky traders flares up anew, putting the wagon train and the nearby fort in peril... At the end of the US Civil War, Johnny Hawks returns and tries to re-start his life. He was once a renowned Indian fighter but had made peace with the Sioux and had become friendly with the Chief, Red Cloud. His immediate task is to lead an Oregon-bound wagon train through Sioux territory but there are some among the settlers who have heard of a gold mine and will go to any lengths to find it. Every time Hawks thinks he has arranged a peace two men in particular, Wes Todd and another named Chivington seem to make it impossible to keep the peace. Hawks also finds that the Chief's daughter, Ohnahti, has grown into a beautiful woman. Despite Hawks' best efforts, war seems inevitable.",western
the royal rider," A cowboy is hired to protect the king of a small country. It turns out that the king is actually a young boy, and revolutionaries are out to overthrow him. Complicating matters is the king's pretty young governess, who makes it difficult for the cowboy to concentrate on protecting the child.",western
the texan," Bill Rust, escaping from the sheriff, rides into a town where a cross-country horse race is about to be staged in a few days. A buckboard driven by young Bobby runs away and Bill overtakes it and rescues the boy. Local tough Buck Townsley starts an argument with Bill, and Bill bets all of his money that his horse can beat Buck's in the upcoming race. The townspeople are also willing to bet on Bill's horse after seeing the rescue. Bobby's sister, Mary Lou, shows her gratitude by inviting Bill to use their ranch as a training ground. Bill enters a hotel where he runs into old Jim, who he used to be in a gang with until Bill decided to reform. Bill is still wanted and Jim threatens to expose him to the sheriff unless Bill agrees to throw the race, so Jim and Buck can clean up betting against him as he is the betting favorite. Bill reluctantly agrees, but then learns that Betty Lou is betting the family fortune, $2,000, on him. He goes back and tells Jim that the deal is off and he will be out to win. But he is spotted by the pursuing sheriff and is chased out of town. Jim and Buck also go after him, fearing he will expose them also. Bobby, after throwing the sheriff off of Bill's trail, is tricked by Jim into telling them where Bill is hiding. They capture him and leave him tied up with a man guarding him. And the race is about to begin. Fleeing from the Sheriff, Bill rides to another County. Jim and Buck know he is wanted and force him into their scheme to fix the big horse race. Jim gets big money bet on Bill and has Buck cover it. Bill is supposed to let Buck win the race. But there are problems for all of them when the Sheriff chasing Bill arrives to see the race.",western
prairie schooners," Being unable to grow crops and pay their land owner Stull due to the drought, Wild Bill gets a group of Kansas farmers to form a wagon train and head to Colorado. Stull is afraid they will ruin his fur business in Colorado and sets out to stop them. He gets there first and giving guns to the Indians, gets them to attack the train. Wild Bill Hickok arrives in a Kansas town just in time to stop the enraged farmers from lynching Dalton Stull, an unscrupulous money-lender, who is foreclosing all their mortgages, after having his henchmen led by Will Tanner, burn, loot and destroy the crops and herds of the settlers. Bill offers to arrange a peaceful settlement, but when this fails, he suggest that the farmers migrate across the border into Colorado. Bill is leading their procession of covered wagons when a band of Indians attack the schooners, incited by Stull who also fears they will interfere with his lucrative fur trade in Colorado. During the attack, Virginia Benton is kidnapped. Bill and his friend, Cannonball, devise a scheme whereby the girl and the wagon train are saved after a desperate battle.",western
tenting tonight on the old camp ground," Wade Benson, road construction boss anxious to help the East-West Company obtain the government mail franchise, is aided by his pal, Cyril Addlebert ""Si"" Dugan. Through the treachery of a rival line, Wade is forced to kill gunman Smoke Dawson. Bob Courtney, representing eastern interests, witnesses the shooting, as does Kay Randolph, and the two, being unaware of the plot against Wade, turn against him. Meanwhile, the rival company is actively frustrating the East-West plans and forces Wade's stage-line road crew to quit work. Following a fight, Bob makes up his mind to help Wade and talks the men into rushing the last bridge through to completion in time for the government's test run.",western
frontier marshal," Early low budget version of the famous Gunfight at OK Corral with Scott as Wyatt Earp and Romero as Doc Holiday. Remade by John Ford as ""My Darling Clementine"" in 1946 and by John Sturges as ""Gunfight at OK Corral"" in 1957",western
7 pistole per i macgregor," Ranch owner MacGregor has seven sons and oldest Gregor leads his brothers to Las Mesas, a small town where they want to sell horses. They get into trouble with local people who are related with evil Santillana. After getting imprisoned and losing their horses they decide to go after Santillana's gang.",western
the outlaw deputy," Ex-outlaw Tim Mallory is looking for the killer of his friend Chuck. Having thwarted a robbery attempt by one of his old gang members he is made a Deputy. He finds Houger who he believes is the killer and starts cleaning up his town. When an old gang member arrives and exposes him, he is arrested. But before being taken to jail, he sees Houger is wearing Chuck's watch. Tim Malloy (Tim McCoy) turned outlaw to right a great wrong. After that purpose has been attained, another task awaits him---the avenging of the murder of his young friend Chuck Adams (George Offerman, Jr. billed as he always was.) The trail leads Tim to Goldland which is ruled by gamblers and bandits and has a useless sheriff. Mine owner Rutledge (Joseph Girard) has Tim appointed a deputy to enforce the law. Tim defies Howger (Hooper Atchley), boss of Goldland, at the saloon headquarters of the gang, and his gun barks death to the henchmen sent to get him. Joyce Rutledge (Nora Lane) is fascinated, but fears Tim, whom she thinks is too ruthless in his methods. Her opinion changes when she sees him, outnumbered, disperse Howger's henchmen, when they disrupt a church service. Cash (Bud Osborne), an old enemy, who is aware of Tim's outlaw past, reveals it to Howager. Tim admits the truth to Howager's accusations and is jailed. Joyce goes to the jail at night and frees him. In the final reckoning, Tim shoots down Howger, whom he identifies as the killer of Chuck as he is carrying Chuck's watch which was taken off his body. Mission accomplished, Tim is about to ride away...maybe.",western
fighting valley," The Independent Smelting Company is being forced out of business through ore shipments being hijacked while on the way from the various mines. Ma Donovan, owner of the Elkhorn Mine, asks for help from Texas Rangers Tex Wyatt, Jim Steele and Panhandle Perkins. They learn from Frank Burke, manager of the smelter, that if he cannot get ore he will be forced to close, and the miners will have to do business with the Rio Grande Corporation owned by Dan Wakely. Joan Manning, owner of the smelter, arrives from the east, with her fiancée Paul Jackson and, acting on his advice, intends to sell the smelter to Wakely's company. At a meeting, with the Rangers present, Joan instructs Paul to prepare an inventory of the plant for the sale, and he remarks that it is practically bankrupt. Tex suggests that the miners use the remark by Jackson to declare it bankrupt and appoint a receiver. They do so and make Tex the receiver. This does not set well with Wakley or Jackson, who is working for Wakely to help him get control of the smelter, and they launch an all-out attack against the miners and the Rangers.",western
powder river," Ex-marshal Chino Bull has hung up his guns until his prospecting partner is shot dead. Chino then takes over as the law in town, forming a friendship with gun-man Mitch Hardin and making enemies of the Logan brothers. When Hardin' girl from the east arrives, he makes her pretty unwelcome - as does his new flame, saloon owner Frenchie.",western
land of the open range," Luke Archer's will stipulates that his huge land holding will be open for filing, but only to ex-convicts who served at least two years in prison. This brings a large criminal element to town but the real crooks are Archer's Lawyer Carse and his henchmen. Dave and his deputies are aided by ex-safecracker Pinky who uses his skills to learn of Carse's plan.",western
red hot hoofs," When heavyweight contender Battling Jack Riley uses the Bar X Ranch for his training quarters, foreman Tom Buckely becomes concerned over Riley's attentions to Frances Morris, the owner's daughter, whom Tom loves. Gerald, Frances' twin brother, confesses to a theft of money from the bank in which he works, and to retrieve the money Tom agrees to fight Riley for three rounds, to the disgust of Frances. Riley sees Tom give Gerald the money and has the boy kidnapped on the way to the bank, then uses him as a decoy to lure Frances to a cabin. Frankie, unseen by Riley, returns to the ranch for his brother, Tom, who arrives in time to defeat Riley after a terrific struggle and to rescue Frances.",western
coroner creek," With the help of Kate Hardison ('Marguerite Chapman' (qv)), the Coroner Creek hotel keeper, Chris Danning ('Randolph Scott (I)' (qv))learns that Younger Miles ('George Macready' (qv))is the man who killed his fiancée. Chris is hired by rancher Della Harms ('Sally Eilers' (qv))as her foreman, and plots his revenge against Miles. But one of the latter's henchmen cripples Chris' trigger-hand.",western
take a hard ride," Rugged trail boss and reformed criminal Pike promises his honest wealthy employer Morgan that he will venture across the desert to deliver $86,000 dollars in payroll money to a ranch in Sonora, Mexico. Pike makes an uneasy alliance with smooth, yet shifty gambler Tyree in order to successfully complete his dangerous mission. During their perilous trek Pike and Tyree encounter desperate prostitute Catherine and her loyal ace martial artist half-breed companion Kashtok. Meanwhile, ruthless bounty hunter Kiefer and numerous greedy others give dogged chase.",western
south of santa fe," To get the three needed business men to visit the Stevens mine, Roy stages a ride with the Vacaros and has them as honored guests. Seeing a chance to make a lot of money, gangster Harmon joins the ride and then has his men kidnap the three. Having filmed a fake holdup earlier, he uses the film to convince the Sheriff that Roy and the boys were the Kidnapers.",western
frontier feud," Traveling incognito to a once-peaceful valley now torn by a murderous conflict between two ranchers, U.S. Marshals Nevada Jack McKenzie and Sandy Hopkins find the dead body of Zane Jenkins, killed by gunman Slade Burnette. Don Graham, part owner of one ranch with the innocent Bill Corey, has started the war with the intent of gaining control of the valley. Corey's daughter Blanche is in love with the owner of the other ranch, Joe, who is suspected of being behind the troubles. Nevada claims to be the brother of the slain Jenkins and is deputized by Sheriff Clancy. Both ranchers warn Nevada to keep out of their business and back up their warnings with violence. Sandy gets a job with Joe, and is able to help Nevada get evidence that Graham is being assisted by town banker Chamers in the plot to take over both ranches.",western
custers last stand," A mystical medicine arrow, the key to a lost gold treasure, is lost in one of many Indian attacks. It is recovered by the only two survivors, a Major and his daughter, who become the targets of those who wish to possess it. General George Armstrong Custer and army scout Kid Cardigan attempt to stop the ensuing war over the arrow, but fail in their efforts, which becomes the historic Custer's Last Stand. Many historical figures and western stars of the time appeared in cameos in the feature, including Calamity Jane (Helen Gibson), Elizabeth Custer (Ruth Mix), Buffalo Bill Cody (Ted Adams), Sitting Bull (Howling Wolf), Wild Bill Hickock (Allen Greer), Chief Crazy Horse (High Eagle). A fun, if not historically accurate, wild western tale.",western
vigilantes of dodge city," Red Ryder ('Bill Elliott (III)' (qv)) and Little Beaver ('Robert Blake (I)' (qv)) arrive on the scene too late to prevent the hold-up of the freight coach and the theft of a big bank shipment. Red's Aunt, the Duchess ('Alice Fleming (I)' (qv)), operates the freight line and is unaware that banker Luther Jennings ('LeRoy Mason' (qv)) wants to scare her into selling him the freight line at a low figure. Jennings has Red's herd of horses stampeded, and makes it appear that Red staged a fake stampede in order to defraud the government. Captain Glover (Steve Barclay (I)') arrests Red, who maintains his innocence and persuades General Wingate ('Stanley Andrews (I)' (qv)) to allow him to go after the real crook. Little Beaver accidentally finds the gang's cave-hideout and Red and Captain Glover find evidence proving Red's innocence and incriminating Jennings.",western
wyatt earp: return to tombstone," Combining colorized footage from the television series _""The Life and Legend of Wyatt Earp"" (1955)_ (qv) with new scenes shot in Tombstone, Arizona, this film shows the return of the legendary former Marshal 'Wyatt Earp (III)' (qv) to his old stomping grounds. He visits old friends, teaches bad guys some manners and reveals secrets about his early life. Wyatt Earp returns to Tombstone. He says he's there because someone passed away and he needs to look for someone. While looking for that person, he and the townsfolk can't help but recall his past, like his battle with the Clantons, his relationship with Doc Holliday, how he got his gun the Buntline special.",western
overland telegraph," Storekeeper Paul Manning is attempting to sabotage the completion of a telegraph line so he can have time to dispose of his stock before the near-by Army post is abandoned. He uses outlaw leader Roberts and his gang in this effort. Troubleshooter Tim Holt and his pal Chito Rafferty investigate, but quickly get onto the wrong side of Terry Muldoon, daughter of the telegraph line contractor.",western
return of the cisco kid," Cisco is attracted to Ann Carver and is soon involved in her and her Grandfather's problems. Sheriff McNally has taken their money, their deed, and thrown them in jail. After breaking them out he makes a deal to buy back their land from McNally and to get the money he and his comrades rob the bank. When time for the payoff arrives, McNally has his men ready to nab him but Cisco has a surprise for McNally.",western
the man from tumbleweeds," Powder Kilgore ('Ray Bennett (I)' (qv) as Raphael Bennett) kills freighter Jeff Cameron ('Edward LeSaint' (qv)) and the latter's daughter, ""Spunky"" ('Iris Meredith' (qv)), sends for gunfighter Wild Bill Saunders ('Bill Elliott (III)' (qv), in another of his more than 195 films in which he was never, not once, billed as William 'Wild Bill' Elliott.) Bill finds that few men care to buck the Kilgore gang, and he gets consent from Governor Dawson ('Don Beddoe' (qv)) to form a state ranger's organization out of gunmen now in prison, the men to be pardoned if they prove themselves worthy. (A plot line used at least six times by writer/director Robert Emmett Tansey elsewhere in a ten year period.) Bill whips a Kilgore henchman, Lightning Barlow ('Francis Walker' (qv)), who is offering ""Spunky"" protection in return for a half-share in her freighting business. Bill jails Barlow and other Kilgore gang members when he and his ""rangers"" foil an attempted gold-shipment holdup. ""Spunky"" and her helper Cannonball ('Dub Taylor (I)' (qv)) stumble on Kilgore's hideout and are taken prisoner. Bill rescues them, but Kilgore and his henchman surround the hideout.",western
blazing guns," After Slug Raton takes Brady's horse, hat, and gun, the Sheriff arrests Grady thinking he is the outlaw. Slug's men chase them to Ricard's ranch which they burn. After Grady saves the Ricard's from their burning house, Betty Lou saves Grady from hanging at the hands of the masked vigilantes. Grady recognizes the voice of Raton among the vigilantes and now knows who to go after.",western
man from cheyenne," The Cattlemen's Association persuades cowboy Roy Rogers to investigate some cattle rustling. The rustling continues but Roy eventually finds the secret tunnel used by the rustlers and captures one of them. This identifies the Hardy ranch as the culprits but when Roy goes to the Hardy ranch to confront them, he soon finds himself alone in a gunfight against the entire gang.",western
broadway to cheyenne," When Owens' gang shoots it out in a New York nightclub, detective Breezy Kildare is wounded. After he recovers he takes a vacation at his father's ranch in Wyoming. Here he meets Owens again and finds him running a protection racket. When Breezy tries to stop him, Owens makes plans to eliminate Breezy.",western
cattle town," Following the Civil War, the state of Texas, needing money, sells land to a syndicate of northerners headed by Judd Hastings ('Ray Teal' (qv)). When Hastings demands the land, and the squatters refuses to vacate, the governor sends Mike McGann ('Dennis Morgan (I)' (qv)) to settle the issues. Eventually, McGann gets the ranchers to move on to other areas with their cattle, which Hastings also covets. McGann also falls in love with Hastings' daughter, Marian ('Amanda Blake (I)' (qv)).",western
pharaohs army," During the American Civil War, a Union Army captain leads his rag-tag cavalry troop up a misty creek to a remote farm to appropriate enemy (Confederate) livestock. The farm is worked by Sarah Anders, whose husband is away fighting for the Confederate Army. Far from the great armies and battlefields, a very private civil war erupts. The Captain and Sarah are pulled apart by the war's undertow into choices they can not fully control or understand. Each character in this drama must decide whether loyalty will be paid in blood. This story has a relevance to current partisan conflicts. Armies are not filled with murdering psychopaths. Good people can be driven to do bad things. The story chronicles the pathology of war, how escalating events can trigger unasked-for tragedy. Based on a true story about a southern child who shot and killed a union soldier during the Civil War.",western
the prairie pirate," A young woman finds herself trapped by a bandit gang. Rather than be raped by the gang, she commits suicide. When her brother finds out what happened, he turns to a life of banditry, hoping to find the gang responsible for his sister's death.",western
duel at diablo," Lieutenant McAllister is ordered to transport several ammunition wagons to another fort through Apache territory with only a small troop of rookie soldiers to guard them. Along for the ride is ex-scout Jess Remsberg who is trying to track down Ellen Grange, who, having recently been freed from Apache captivity, has mysteriously run off again to rejoin them. Remsberg frees Ellen again and leaves her with the embattled soldiers as he rides off to the fort, not only for help, but to find the man who killed and scalped his Indian wife.",western
hawk of the hills," Newhall, California. A band of Indians led by the half-breed 'The Hawk' terrorizes prospectors in a valley. When the old prospector Clyde Selby hits the mother lode, The Hawk plans to kidnap his pretty blond daughter Mary Selby. This kidnapping actually proves one of the lesser of the perils faced by the poor Mary. Laramie, a government agent, wants with the help of his friendly Shoshone Indian friends to extricate the damsel-in-distress.",western
senior project," When D'Wayne (Roman Armstrong) and Dezmond (Justin Carmouche) gets kicked out of every high school, and their parents leaves it up to figure out a plan to graduate.",comedy
ordeals in america," A mockumentary short film that explores the deep issues that evolve within American society. In interviewing people from New York to Miami, Mr.Shkreli goes one on one with different American people and their outlook on the issues that surround them.",comedy
importance of being earnest: east meets west," Oscar Wilde's tale of marriage, manners and mistaken identity is set in modern times with a twist. Rather than the stodgy Victorian Lady Bracknell, our hero, Jack, must contend with an even more conservative, demanding and formidable Chinese mother!",comedy
bibin svijet," A little grocery shop on the city's suburbs is the place where cashier Biba Fruk and her co-workers Djurdja, Milivoj, Vlado and the boss Mr. Piskoric are working hard, but as usual, there's always something going wrong. Even though, Biba's every day life looks like other people's (home-work-home), her day is full of comical situations and troubles she's getting herself in due her sharp tounge and free spirit. She's loved at work among people and her co-workers appreciate her because of her's honesty. One thing is certain - Biba's World is full of regular people, who find themselves in unusual situations, far from boring every day life. A little store on the end of town, is a place where cash-register Biba Fruk and her collages Djurdja , Vlado, Milivoj and manager Piskoric; work hardly and try to do the job the best they can, but, as it is usually - something always goes wrong!",comedy
