title,description,genre
butch cassidy and the sundance kid,Dwaj rewolwerowcy mają coraz większe trudności z ucieczką przed amerykańskimi stróżami prawa. Decydują się więc wyjechać do Boliwii. ,western
planet of the apes,"Grupa astronautów trafia na nieznaną planetę, która przypomina Ziemię. Okazuje się, że jest ona zamieszkiwana przez inteligentne małpy.",adventure
enter the dragon,"Agent Lee decyduje się wziąć udział w&nbsp;turnieju sztuk walki, by znaleźć dowody nielegalnej działalności organizatora imprezy. ",action
three amigos!,Trzech hollywoodzkich aktorów zostaje zaangażowanych do ochrony przez mieszkańców wioski. ,comedy
the condemned,"Dziesięciu więźniów skazanych na śmierć zostaje uwolnionych i przeniesionych do dżungli, gdzie walczą o życie.",action
nixon,"Prezydent USA, Richard Nixon, razem ze swoją ekipą zmaga się z następstwami włamania do kompleksu Watergate. Grozi mu utrata piastowanego stanowiska.",biography
devil,"Pięcioro osób zostaje uwięzionych w windzie. Z upływem godzin zaczynają się przekonywać, że to, co ich spotkało, nie było przypadkiem. ",horror
at middleton,"Edith przyjeżdża z córką do Middleton, by zwiedzić potencjalną dla niej uczelnię - podobnie jak George i jego syn. Pomiędzy rodzicami rodzi się miłość.",romance
penthouse north,"Niewidoma kobieta zostaje napadnięta przez mężczyznę sądzącego, że w jej mieszkaniu znajdują się drogocenne diamenty.",thriller
tylko nie mow nikomu,"Dziennikarz śledczy rozmawia z dziewięcioma księżmi katolickimi, którzy dopuścili się zbrodni pedofilii i molestowania nieletnich, a także ich ofiarami.",documentary
gravity,Weteran misji kosmicznych i ambitna pani naukowiec krążą po orbicie Ziemi na uszkodzonym promie.,drama
shrek forever after,"Życie Shreka popadło w rutynę; ot żona, dzieci i pieluchy. Tęskniąc za czasami, kiedy budził postrach wśród okolicznych wieśniaków, ogr kupuje od Rumpelstiltskina jeden beztroski dzień.",animation
a christmas carol,"Ebenezera Scrooge'a nawiedzają trzy duchy. Od tej pory starzec zaczyna nadrabiać to, co utracił, będąc złym człowiekiem, i stara się wrócić na dobrą drogę. ",animation
hoje eu quero voltar sozinho,"Leonardo, niewidomy nastolatek, chce uciec od swojej nadopiekuńczej matki. Zmienia plany, kiedy poznaje Gabriela.&nbsp; ",romance
la solitudine dei numeri primi," Adaptacja książki Paolo Giordano pt. ""Samotność liczb pierwszych"", jej bohaterami są Alice i Mattia, których losy śledzimy na przestrzeni wielu lat. 7-letnia Alice... ",drama
shi," Cierpiąca na chorobę Alzheimera kobieta bierze udział w kursie poezji po tym, jak odkrywa, że wnuczek doprowadził do samobójstwa szkolnej koleżanki. ",drama
czlowiek z magicznym pudelkiem,Cierpiący na amnezję Adam poznaje tajemnicę podróży w czasie związaną z zabytkowym radioodbiornikiem. Odkrycie zmienia także życie jego ukochanej Gorii.,romance
the forbidden kingdom,"Nastoletni Jason za pomocą tajemniczej laski przenosi się do baśniowej krainy w starożytnych Chinach, gdzie otrzymuje misję ratowania świata. ",fantasy
one hundred and one dalmatians,"Okrutna Cruella DeMon marzy o płaszczu ze skór dalmatyńczyków, więc skupuje lub porywa szczenięta tej rasy. Rodzice uprowadzonej piętnastki maluchów, Pongo i Perdita, wyruszają im na ratunek.",animation
coach carter,"Nowy trener koszykarskiej drużyny z Richmond zaczyna stosować kontrowersyjne metody, by przywrócić dyscyplinę w zespole. Niektórym zawodnikom wyraźnie się to nie podoba. ",drama
stuart little,"Państwo Malutcy, pragnąc adoptować dziecko, odwiedzają sierociniec. Na miejscu spotykają małą mysz o imieniu Stuart, którą postanawiają zabrać do domu. ",family
traffic,"Trzy historie opowiadające o walce z narkotykami przedstawione oczami ojca, żony i policjanta. ",drama
ice age: collision course," Mamut Maniek, leniwiec&nbsp;Sid i tygrys Diego wraz z pozostałymi członkami stada opuszczają dotychczasowy dom, aby uratować się przed kosmicznym kataklizmem, który zagraża całemu światu.",animation
eraser,"Śledczy John Kruger musi chronić swoją klientkę, która odkryła poważny spisek w kręgach władzy. ",action
jumanji: the next level,"Spencer ponownie trafia do świata Jumanji. Z pomocą przychodzą mu przyjaciele, bez których wydostanie się z gry jest niemożliwe.",fantasy
legion,"Bóg postanawia zniszczyć ludzką rasę. Archanioł Michał odkrywa, że młoda, ciężarna kobieta nosi w sobie mesjasza, który może ocalić świat.",fantasy
sleeping with other people,"Jake to nałogowy kobieciarz, a Lainey uzależniła się od niewłaściwego faceta. Na kilometr widać, że są dla siebie stworzeni. Gdyby tylko przestali sypiać z innymi... ",comedy
kvinden i buret,Po traumatycznych przeżyciach detektyw Carl Mørck zostaje przydzielony do zamykania spraw niewyjaśnionych. Jego uwagę zwraca zaginięcie pewnej kobiety. ,crime
the oxford murders,"Profesor i amerykański student Oxfordu są na tropie mordercy, którego zbrodnie układają się według ciągu matematycznych symboli.",crime
bad boys,"Marcus i Mike, policjanci z wydziału antynarkotykowego, mają trzy dni na odzyskanie skradzionej z depozytu heroiny wartej 100 mln dolarów.",thriller
duze zwierze,"Sawiccy postanawiają zaopiekować się znalezionym wielbłądem. Lokalna społeczność zrobi wszystko, by uniemożliwić im to przedsięwzięcie. ",drama
london boulevard,Po odbyciu wyroku Mitchell chce zapomnieć o przestępczej przeszłości. Dawni znajomi mają jednak co do tego inne plany.&nbsp;,crime
epic,"Mary Katherine, córka naukowca, trafia do Zielonego Królestwa zwierząt, gdzie wraz z nowymi przyjaciółmi stawi czoła siłom zagrażającym Matce Naturze. ",animation
a dogs purpose,"Pies odnajduje sens swego istnienia, gdy po odejściu z tego świata niespodziewanie odradza się ponownie w kolejnym psim wcieleniu.",family
the eyes of tammy faye," Film ""Oczy Tammy Faye"" przybliża niezwykłą historię sukcesów i niepowodzeń telewizyjnej ewangelistki Tammy Faye Bakker. W latach 70. i 80. ubiegłego stulecia Tammy Faye i... ",biography
the postman,"W zniszczonej przez wojnę Ameryce samotny wędrowiec znajduje mundur listonosza. Staje się symbolem nadziei na powrót dawnego porządku, do czego nie chce dopuścić okrutny generał. ",drama
smallfoot," Przygodowa animacja ""Mała Stopa"" przedstawia legendę o Wielkiej Stopie z zupełnie innej perspektywy, kiedy bystry, młody Yeti znajduje coś, co według niego nie istnieje -... ",animation
the fourth kind,"Mieszkająca na Alasce psycholog próbuje rozwiązać sprawę zaginięć mieszkańców. Wkrótce odkrywa, że kilkoro jej pacjentów cierpi na przypadłość, która wiąże się z tajemniczymi zniknięciami. ",thriller
orokbefogadas," Kata (Katalin Berek) mieszka na wsi i jest samotną wdową po czterdziestce. Utrzymuje intymne kontakty z żonatym mężczyzną (László Szabó) i pragnie mieć z nim dziecko, by... ",drama
47 meters down,"Dwie siostry zostały uwięzione w klatce do obserwowania rekinów. Mają godzinę, aby wydostać się z pułapki.",thriller
john doe: vigilante,John Doe oczekuje na wyrok. Dowodami są zapiski wideo.,crime
into the mind,"Narciarze ryzykują życiem, podejmując sportowe i mentalne wyzwanie, jakie stawia im natura, strach oraz własne ograniczenia.",documentary
blood work,Emerytowany agent FBI po przeszczepie serca zostaje wynajęty do odnalezienia mordercy dawczyni organu. ,crime
the man who knew infinity,"Skromny, indyjski urzędnik obdarzony jest nieprzeciętnymi umiejętnościami matematycznymi. Profesor z Cambridge zaprasza go do Anglii, dostrzegając geniusz mężczyzny.",biography
national treasure,Ben Gates trafia na trop największego skarbu w dziejach ludzkości. ,adventure
mononoke-hime,"Książę małej wioski zostaje przeklęty przez demona. Wyrusza w podróż, by poprosić legendarnego boga zwierząt o zdjęcie uroku. ",fantasy
jak rozpetalem druga wojne swiatowa,"Pechowy szeregowiec Franek Dolas myśli, że rozpętał II wojnę światową. Chcąc zabłysnąć bohaterskimi czynami, plącze się w coraz większe tarapaty.",comedy
ruby sparks,Powołana do życia bohaterka książki Ruby wywraca świat do góry nogami swojemu twórcy.,fantasy
le gendarme se marie,Sierżant Cruchot poznaje atrakcyjną wdowę. Sympatia ojca nie przypada do gustu jego córce.,comedy
inside job,Dokument przedstawia przyczyny kryzysu ekonomicznego z 2008 roku.&nbsp;,documentary
before night falls,Pisarz Reinaldo Arenas prowadzi życie pełne przygód.,biography
true grit,Młoda dziewczyna zamierza odnaleźć i postawić przed sądem mordercę swojego ojca. W tym celu wynajmuje rewolwerowca mającego schwytać oprawcę. ,western
super troopers,"Grupa funkcjonariuszy dowiaduje się, że ich oddział ma zostać zlikwidowany. Żeby temu zapobiec, muszą rozwiązać sprawę zabójstwa.",comedy
skandal. ewenement molesty," Historia kilku chłopaków, zafascynowanych MTV, na ursynowskim blokowisku w połowie lat 90., którzy postanowili założyć kultowy skład Mistic Molesta.",documentary
21,Wybitnie zdolni studenci prestiżowej uczelni dzięki wiedzy z zakresu matematyki wygrywają olbrzymie sumy w blackjacka. Tymczasem właściciele kasyn zabezpieczają się przed kolejnymi stratami. ,crime
the covenant,"Czterech młodych mężczyzn pochodzących z rodu czarownic stawia czoła piątemu potomkowi, aby zachować swoją tajemnicę.",fantasy
high plains drifter,"W skrywającym mroczny sekret miasteczku Lago zjawia się tajemniczy jeździec. Właściciele lokalnej kopalni wynajmują go do ochrony przed bandytami, którzy po wyjściu z więzienia chcą zemścić się na mieszkańcach. ",western
cry freedom,Czarnoskóry Steve Biko przeciwstawia się apartheidowi. Do pomocy w walce z niesprawiedliwością i rasizmem dołącza wydawca gazety. ,biography
zootopia,"Nick Bajer – żyjący z drobnych przekrętów szczwany lis, i Judy Hops – pierwszy w historii królik zatrudniony w policji, łączą siły, by rozwiązać pewną kryminalną zagadkę.",animation
green book,Drobny cwaniaczek z Bronksu zostaje szoferem ekstrawaganckiego muzyka z wyższych sfer i razem wyruszają na wielotygodniowe tournée.,drama
overdrive,"Dwaj bracia trudniący się kradzieżą luksusowych samochodów jadą do Francji, gdzie podpadają lokalnej mafii.",action
indiana jones and the kingdom of the crystal skull,Słynny archeolog i miłośnik przygód Indiana Jones oraz&nbsp;Mutt Williams poszukują legendarnego artefaktu.,adventure
magiczne drzewo,"Trójka rodzeństwa znajduje krzesło spełniające życzenia. Korzystając z właściwości przedmiotu, dzieci rozpoczynają poszukiwania swoich rodziców. ",fantasy
dip huet seung hung,"Płatny zabójca, Jeffrey, przyjmuje ostatnie zlecenie, aby opłacić operacje ukochanej.",crime
percy jackson &amp; the olympians: the lightning thief,"Potomek Posejdona, nastolatek Percy Jackson, wraz ze swoimi przyjaciółmi wyrusza w podróż, aby odnaleźć Piorun Zeusa. ",fantasy
the miseducation of cameron post,"Cameron zostaje przyłapana w intymnej sytuacji. Ciotka zawozi ją do Bożej Obietnicy, gdzie nastolatka ma uzdrowić się z homoseksualizmu.",drama
the good dinosaur,"Młody dinozaur zaprzyjaźnia się z chłopcem, który pomaga mu wrócić do domu.",animation
star trek: insurrection,"Kapitan Picard wraz z dzielną załogą postanawia stanąć w obronie garstki mieszkańców planety Ba'ku, co oznacza wystąpienie przeciwko Federacji Planet. ",adventure
james and the giant peach," Szczęśliwe życie Jakubka na angielskim wybrzeżu zostaje brutalnie przerwane, gdy jego rodzice zostają zabici przez nosorożca i chłopiec zostaje oddany pod opiekę dwóch... ",animation
over the moon,Dziewczyna buduje statek kosmiczny i wyrusza na poszukiwanie legendarnej bogini księżyca.,animation
zabic bobra,"Po powrocie z wojny Eryk zaszywa się w rodzinnym domu. Oczekując na kolejną misję, wraca wspomnieniami do pola walki. ",thriller
human,"Dokument&nbsp;&nbsp;o tym, kim jest człowiek, jakie są jego ciemne i jasne strony i co tak naprawdę łączy nas wszystkich.",documentary
the jungle book,"Mowgli jako dziecko zostaje porzucony w dżungli i przygarnięty przez zwierzęta. Kiedy dorasta, rozpoczyna podróż w poszukiwaniu swoich prawdziwych korzeni. ",animation
paddington 2,"Pomyłkowo osadzony w areszcie, wśród zepsutych do szpiku kości typów spod ciemnej gwiazdy, Paddington zrobi wszystko, by złapać prawdziwego złodzieja tajemniczej książki.",family
bishojo senshi sailor moon r: the movie,"Fiore, dawny przyjaciel Mamoru powraca na Ziemię wraz z tajemniczym kwiatem pasożytem, który może zniszczyć całą planetę.",fantasy
big trouble in little china,Kierowca ciężarówki oraz jego przyjaciel z Chinatown zostają wplątani w walkę między siłami dobra i zła.,fantasy
tuck everlasting,"Nastoletnia Winnie trafia pod dach nieśmiertelnej rodziny Tucków i zakochuje się Jessem. Dziewczyna musi podjąć decyzję - chce z nimi pozostać, czy woli zestarzeć się z własną rodziną. ",family
the muppets,"Muppety ponownie się jednoczą i dają na scenie popis swoich talentów, by uzbierać środki niezbędne do uratowania starego teatru.",family
crazy/beautiful,Córka kongresmena poznaje ubogiego chłopaka z latynoskiej rodziny. Ich znajomość nie podoba się rodzicom dziewczyny. ,romance
the usual suspects,"Wskutek tajemniczej eksplozji na statku w Los Angeles ginie 27 osób. Policja przesłuchuje świadka zdarzenia, który twierdzi, że za wszystkim stoi nigdy niewidziany przestępca.",crime
shrek the halls,"Shrek stara się zorganizować spokojne święta, które chce spędzić tylko z rodziną. Jego znajomi mają jednak inne plany i ogrom chęci do pomocy.",animation
samsara,"Drugi film reżysera ""Baraki"" to dokumentalna podróż przez najpiękniejsze zakątki 25 krajów na całym świecie z muzyką Lisy Gerrard i Dead Can Dance.&nbsp;",documentary
father of the bride,"Życie Georga zostaje zdezorganizowane, kiedy dowiaduje się o rychłym ślubie córki, która ukończyła studia w Europie. ",family
the legend of zorro,"Zorro staje do walki z tajną organizacją&nbsp;Rycerzy&nbsp;Aragonii, których celem jest zapobiegnięcie wejściu Kalifornii w skład Unii.&nbsp;",adventure
halloween kills,"Laurie wierzy że pokonała swojego prześladowcę. Okazuje się jednak, że jej gehenna wcale się nie skończyła. ",horror
avalon,"W niedalekiej przyszłości ludzie uzależnieni są od gry wojennej. Wirtualna rzeczywistość pochłania wielu do tego stopnia, że stają się niczym wegetujące rośliny.",sci-fi
jason lives: friday the 13th part vi,"Ożywiony przez piorun Jason powraca nad jezioro Crystal Lake. Jedyną osobą, która może go pokonać jest Tommy Jarvis.",horror
joanna,"Film ukazuje fragmenty z życia Joanny, u której zdiagnozowano śmiertelną chorobę. ",documentary
"il buono, il brutto, il cattivo.",Dziki Zachód. Brzydki i Dobry usiłują dotrzeć do ukrytego przez wojsko skarbu. Po piętach depcze im Zły.,western
black butterfly,Cierpiący na brak weny twórczej pisarz zaprasza do swojego domu mężczyznę spotkanego w barze. ,thriller
the ballad of buster scruggs,"Bracia Coenowie opowiadają o&nbsp;przygodach amerykańskich pionierów i&nbsp;bandytów na&nbsp;Dzikim Zachodzie, sprawnie lawirując między żartem i&nbsp;absurdem a&nbsp;poważniejszymi klimatami.",western
oldeuboi,"Uwolniony po 15 latach Dae-su ma pięć dni, by odkryć kto go uwięził i dokonać brutalnej zemsty.",thriller
awantura o basie,"Piętnastolatka dowiaduje się, że państwo Olszowscy nie są jej prawdziwymi rodzicami. Postanawia poznać swoją przeszłość. ",family
la tortue rouge,"Rozbitek trafia na bezludną wyspę. Mężczyzna pragnie z niej uciec, lecz zmienia swoje nastawienie, gdy odkrywa jej tajemnice.",animation
"20,000 days on earth",Podczas swojego dwudziestotysięcznego dnia na Ziemi pisarz i muzyk Nick Cave opowiada o własnym życiu.,documentary
baraka,"Dokument zabiera widza w podróż&nbsp;przez&nbsp;świat, ukazując zarówno piękno planety, jak i kondycję&nbsp;człowieka.",documentary
the good son,"Po stracie matki dwunastoletni Mark przyjeżdża do domu stryja, gdzie zauważa, że jego kuzyn jest śmiertelnie&nbsp;niebezpieczny.",thriller
il grande silenzio,"Do małego miasteczka na Dzikim Zachodzie przyjeżdża rewolwerowiec. Tam dostaje propozycję zastrzelenia łowcy głów, który nie gardzi zleceniami dotyczącymi nawet niewinnych osób.",western
jennifers body,Pewna siebie licealistka zostaje opętana przez żądnego krwi demona.,horror
snow dogs,"Ceniony dentysta dowiaduje się, że otrzymał w spadku zaprzęg ośmiu psów. Zwierzaki sprawiają nowemu panu wiele kłopotów. ",family
johnny mnemonic,"Społeczeństwo przyszłości cierpi na groźną chorobę. Johnny jest kurierem z wszczepionym do mózgu implantem pamięci, któremu powierzono recepturę leku.",thriller
stop making sense," Film Jonathana Deeme i Zespołu Talking Heads- STOP MAKING SENSE powraca w pietnaście lat po premierze. Z odświeżonym, cyfrowym dźwiękiem i udoskonaloną kopią stanowi... ",documentary
true romance,"Wiodący dotychczas spokojny tryb życia fan kina i komiksów zostaje uwikłany w zabójstwo, handel narkotykami oraz śledztwo FBI.",crime
rings,"By uratować swojego chłopaka, Julia postanawia obejrzeć tajemniczą kasetę wideo. Wkrótce dowiaduje się, że zostało jej siedem dni życia.",horror
bambi ii,"Po śmierci matki opiekę nad Bambim przejmuje ojciec. Wielki Książę Lasu uczy swego syna wszystkiego, co jeleń powinien wiedzieć.",animation
lincredibile storia dellisola delle rose,"Inżynier idealista buduje własną wyspę niedaleko wybrzeża Włoch i&nbsp;ogłasza ją niepodległym krajem, przyciągając uwagę świata i&nbsp;włoskiego rządu.",comedy
hoodwinked!,"Policja prowadzi śledztwo w sprawie zakłócenia porządku w chatce babci oraz posiadania broni. Świadkami zdarzenia są Czerwony Kapturek, Wilk i Drwal.",animation
indignation," Zrealizowany na podstawie słynnej powieści Philipa Rotha film ""Wzburzenie - opowieść o dojrzewaniu"" ukazuje losy Marcusa Messnera (Logan Lerman), wzorowego ucznia i... ",drama
snatched,Amy razem ze swoją matką wyjeżdżają na wycieczkę do Ekwadoru. Na miejscu zostają porwane i wywiezione do dżungli.,comedy
the rescuers,Dwie myszki ruszają na ratunek sierotce Penny uwięzionej przez przebiegłą Meduzę. ,animation
pearl jam twenty,Dokument przedstawia historię zespołu Pearl Jam ukazując wiele nieznanych do tej pory faktów.,documentary
il conformista," Faszystowskie Włochy. Marcello (Jean-Louis Trintignant) jest pracownikiem tajnych służb, który zgłasza swój akces do faszyzmu i żeni się z drobnomieszczanką Giulią, by... ",drama
the brood,"Żona Franka Carvetha trafia pod opiekę ekscentrycznego psychologa,&nbsp;który wykorzystuje innowacyjne techniki, aby przełamać psychologiczne blokady u pacjentów.",horror
kill list,"Bezrobotny żołnierz, który jest płatnym zabójcą, popada w coraz większe długi. Mężczyzna postanawia przyjąć ofertę pracy od przyjaciela.",crime
ferdinand,Przyjacielski młody byczek przez pomyłkę zostaje zwerbowany do walk na arenie. ,animation
d-war,"Ethan Kendrick, dowiadując się, iż jest kolejnym wcieleniem wielkiego wojownika, rozpoczyna badanie tajemniczej, koreańskiej legendy. ",fantasy
the polar express,Chłopiec powątpiewający w magię Świąt Bożego Narodzenia zostaje pasażerem pociągu zmierzającego na biegun północny do siedziby św. Mikołaja.,animation
transformers: dark of the moon,"Autoboty muszą obronić Ziemię przed Decepticonami, którzy przygotowują się do podbicia planety. ",action
son of the mask,"Pies rysownika znajduje maskę, która przemienia noszącego w szalonego superbohatera. Przedmiotu poszukuje Loki. ",fantasy
per qualche dollaro in piu,"Dwóch rewolwerowców poluje na tego samego bandytę, za którego głowę wyznaczono wysoką nagrodę.",western
batman,"Tajemniczy mściciel pojawia się na ulicach Gotham, aby podjąć walkę z przestępcami. Pomaga mu w tym znana dziennikarka Vicki Vale.",action
serendipity,"Kiedy Sara i Jonathan zakochują się w sobie od pierwszego wejrzenia, postanawiają sprawdzić, czy są sobie przeznaczeni.",comedy
hotarubi no mori e,"Hotaru spotyka w lesie Gina, chłopca ducha, który - jeśli zostanie dotknięty przez człowieka - zniknie.",fantasy
for your eyes only,Agent 007 musi odnaleźć sprzęt umożliwiający kontrolę nad atomowymi okrętami podwodnymi.,thriller
the lost world: jurassic park,"Na wyspę zamieszkałą przez dinozaury ponownie zostaje wysłana grupa naukowców. Prócz niebezpiecznych gadów bohaterowie spotykają zawziętych najemników, którzy chcą wywieźć kilka okazów. ",adventure
tulipany,"Gdy jeden z nich trafi do szpitala, trzech 60-letnich przyjaciół będzie musiało naprawić błędy przeszłości i pogodzić się z przemijaniem.",drama
conan the barbarian,"Conan poprzysięga zemstę na człowieku, który wybił całe jego plemię.",fantasy
dead man down,"Żądna zemsty kobieta uwodzi Victora, będącego prawą ręką nieuchwytnego, nowojorskiego kryminalisty.",thriller
malasana 32,"Po przeprowadzce do nowo zakupionego mieszkania członkowie rodziny zaczynają podejrzewać, że może to być miejsce nawiedzone przez złe duchy.",horror
the adam project,Podróżujący w czasie pilot wraz z młodszą wersją samego siebie i swoim zmarłym ojcem stara się pogodzić z przeszłością i ocalić przyszłość.,family
xxy,"Alex jest hermafrodytą, który właśnie staje przed problemem wyboru płci. Wizyta znajomych wraz z synem staje się tłem do poszukiwania tożsamości seksualnej. ",drama
metallica: some kind of monster,"Dokument ukazuje proces tworzenia nowej płyty, jak również codzienne życie i relacje pomiędzy członkami tytułowego zespołu. ",documentary
sound city,"Dokument opowiada o studiu muzycznym, w którym&nbsp;powstały albumy wybitnych zespołów rockowych.",documentary
the adventures of baron munchausen, Baron Munchausen wraz z małą dziewczynką wyrusza na poszukiwanie swoich towarzyszy. Mają mu pomóc uratować oblężone przez Turków miasto. ,fantasy
the in-laws,"Córka spokojnego doktora planuje wyjść za mąż. Na pierwszym spotkaniu rodzin narzeczonych okazuje się, że ojciec przyszłego pana młodego jest tajnym agentem CIA.",comedy
you dont know jack,Lata 90. XX wieku. Amerykański lekarz toczy walkę o legalizację eutanazji. ,biography
shooter,Były snajper korpusu marines zostaje poproszony o ochronę prezydenta Stanów Zjednoczonych.,thriller
cloverfield,Nowy Jork zostaje zaatakowany przez ogromnych rozmiarów monstrum. Grupa młodych ludzi próbuje wydostać się z pogrążonego w chaosie miasta.,action
the social network,"Historia powstania Facebooka. Komputerowy geniusz z Harvardu zakłada stronę thefacebook.com, która nieoczekiwanie bije rekordy popularności.",biography
el angel,"Carlito, niewinnie wyglądający chłopak o twarzy anioła, popełnia drobne przestępstwa na ulicach Buenos Aires. Wkrótce po tym, gdy poznaje Ramona, staje się brutalnym mordercą.",biography
how to steal a million,"Chcąc uchronić ojca przed ujawnieniem fałszerstwa rzeźby bogini Wenus, Nicole postanawia wykraść ją z muzeum. Kobiecie pomaga przystojny złodziej Simon.",romance
yuma,Popeerelowska bieda w Polsce zmusza Zygę do jumy – szabrowania wyrobów luksusowych za zachodnią granicą.,drama
friday after next,"Nastał czas Świąt Bożego Narodzenia i dwaj zwariowani kuzyni Craig oraz Day-Day w końcu opuścili domy swoich rodziców, aby przeprowadzić się do własnego mieszkania. ",comedy
mimic,"Celem zwalczenia karaluchów przenoszących śmiertelną chorobę entomolog hoduje insekty, które po wykonaniu zadania mutują i zaczynają zagrażać ludziom. ",horror
the third man,"Pisarz podrzędnych kryminałów przyjeżdża do powojennego Wiednia, gdzie ma rozwiązać zagadkę śmierci przyjaciela.",crime
bright,"Dwaj policjanci, człowiek i ork, usiłują pokonać dzielące ich różnice, aby wspólnymi siłami zapobiec niebezpieczeństwu zagrażającemu światu. ",fantasy
loves labours lost," Ekranizacja komedii Williama Szekspira. Opowieść o czterech przyjaciołach, którzy ślubowali, iż nigdy się nie ożenią. Niestety, jak zwykle w takich sytuacjach bywa... ",musical
lara croft tomb raider: the cradle of life,"Nieustraszona podróżniczka wyrusza na wyprawę, by odnaleźć starożytny artefakt. Od tej misji zależą losy ludzkości.",adventure
the 9th life of louis drax,"Dziewięcioletni Louis Drax w wyniku tajemniczego wypadku zapada w głęboką śpiączkę. Neurolog Allan Pascal chce poznać prawdę i dowiedzieć się, czy chłopcu nadal grozi niebezpieczeństwo. ",thriller
