title,description,genre
can you ever forgive me?,"Gdy Lee traci pracę, zaczyna zarabiać na życie podrabiając listy sławnych osób i sprzedając je kolekcjonerom.",biography
the jungle book,"Mały chłopiec zostaje wychowany w dżungli przez dzikie zwierzęta. Gdy dorasta, postanawia odszukać Kitty, miłość z dzieciństwa. ",family
ashes and snow," ""Ashes and Snow"" stanowi zbiór fotograficznych dzieł autorstwa&nbsp;Gregory'ego Colberta, przedstawiających niezwykłe interakcje zachodzące pomiędzy człowiekiem a dzikimi... ",documentary
kiss &amp; cry,Obiecująca łyżwiarka figurowa przygotowuje się do udziału w olimpiadzie. Wkrótce u nastolatki zostaje zdiagnozowany rzadki przypadek złośliwego guza. ,romance
hangman,"Doświadczeni policjanci dostają zadanie, którym jest złapanie groźnego seryjnego mordercy. Zostają wplątani w wisielczą grę. ",crime
the forest,"Młoda Amerykanka przyjeżdża do mrocznego lasu Aokigahara leżącego w Japonii, aby odnaleźć zaginioną siostrę. ",horror
komunia,"Komunia Święta niepełnosprawnego brata staje się pretekstem dla Oli, by rozbita rodzina zasiadła razem przy jednym stole. ",documentary
the firm,"Młody prawnik odkrywa, że kancelaria w której pracuje jest powiązana z mafią.",thriller
the hills have eyes,"Podczas wycieczki wyludnionymi, amerykańskimi pustkowiami rodzina Carterów natrafia na grupę zmutowanych kanibali.",horror
grace of monaco,"Ikona kina poślubia księcia&nbsp;Rainiera III i porzuca karierę, by pełnić obowiązki księżnej Monako.",biography
wojaczek," Wizjoner Lech Majewski zrealizował może najbardziej przejmujący film o latach sześćdziesiątych PRL-u. Wojaczek, chociaż wykorzystuje fakty z tragicznej biografii... ",biography
three identical strangers,"Trzech nastolatków, którzy spotkali się przypadkiem, odkrywa, że są trojaczkami rozdzielonymi po narodzinach. Są zachwyceni - dopóki na jaw nie wychodzi prawda.",documentary
midsommar,Młoda para w czasie wakacji odwiedza odizolowaną od świata szwedzką wioskę. Wkrótce dowiaduje się o ekscentrycznych miejscowych tradycjach.,horror
confessions of a teenage drama queen,"Młoda dziewczyna po przeprowadzce z Nowego Jorku do małego miasteczka usiłuje zrobić wszystko, by tytuł najpopularniejszej dziewczyny w szkole należał do niej.",family
rings,"By uratować swojego chłopaka, Julia postanawia obejrzeć tajemniczą kasetę wideo. Wkrótce dowiaduje się, że zostało jej siedem dni życia.",horror
paranormal activity: the marked ones,"Rodzina i przyjaciele próbują uratować Jessego przed tajemniczymi siłami, które go nawiedzają. ",horror
zabic bobra,"Po powrocie z wojny Eryk zaszywa się w rodzinnym domu. Oczekując na kolejną misję, wraca wspomnieniami do pola walki. ",thriller
w delta z,"W Nowym Yorku pojawia się seryjny morderca, który podpisuje wszystkie swoje ofiary, wycinając na ich ciele tytułowy napis.",thriller
amazing grace,"XVIII wiek, Wielka Brytania. Młody polityk, William Wilbeforce, staje na czele ruchu dążącego do zniesienia niewolnictwa.",biography
blow out,Młody dźwiękowiec zostaje wplątany w morderstwo gubernatora - kandydata na prezydenta USA. ,thriller
the song remains the same, Film składa się z fragmentów legendarnych koncertów brytyjskiej supergrupy Led Zeppelin podczas tournee po Stanach Zjednoczonych w 1973 roku. Wśród nich jeden z... ,documentary
kimi no na wa.,"Mieszkająca na wsi nastoletnia Mitsuha Miyamizu oraz uczeń tokijskiego liceum, Taki Tachibana, budzą się pewnego poranka w nieznanych sobie pokojach. Wkrótce odkrywają, że ich ciała również nie należą do nich.",fantasy
blood work,Emerytowany agent FBI po przeszczepie serca zostaje wynajęty do odnalezienia mordercy dawczyni organu. ,crime
ging chat goo si,"Handlarz narkotyków wplątuje policjanta w morderstwo, którego ten nie popełnił.",comedy
oculus,"Kaylie Russell&nbsp;stara się oczyścić z zarzutów skazanego za morderstwo brata. Chce dowieść, że przestępstwo zostało popełnione przez istoty nadprzyrodzone.",horror
a dogs way home,"Pies wyrusza w długą, pełną przygód drogę, aby odnaleźć swojego właściciela.",family
la vieille dame et les pigeons,Wygłodzony żandarm spotyka w parku staruszkę karmiącą ptaki ciastkami. Udaje się więc do domu starszej pani w przebraniu gołębia.,animation
przedwiosnie," Opowieść o buncie, miłości i dojrzewaniu. Burzliwa historia młodego człowieka, którego namiętnością były kobiety i historia. Ekranizacja powieści Stefana Żeromskiego pod... ",drama
the worlds fastest indian,"Nowozelandczyk, Burt Munro, marzy o tym, by swoim motocyklem wystartować w wyścigu na słonych torach Bonneville. Za ostatnie pieniądze udaje się do USA i zamierza pobić rekord prędkości.",biography
max,"Po powrocie z misji, pies służący pomocą żołnierzom w Afganistanie zostaje zaadoptowany przez rodzinę swojego tresera. ",family
the witcher: nightmare of the wolf,"Vesemir ucieka od biedy i zostaje wiedźminem zawodowo zabijającym potwory. Jednak gdy na jego drodze staje nowe zagrożenie, musi stawić czoła demonom przeszłości.",fantasy
wadjda,"Wadjda ma 10 lat i marzy o rowerze, choć w jej kraju kobietom nie wolno prowadzić żadnych pojazdów. Żeby zdobyć na niego pieniądze, zbuntowana dziewczynka bierze udział w konkursie recytatorskim Koranu. &nbsp; ",drama
the postman,"W zniszczonej przez wojnę Ameryce samotny wędrowiec znajduje mundur listonosza. Staje się symbolem nadziei na powrót dawnego porządku, do czego nie chce dopuścić okrutny generał. ",drama
alexander,"Oparta na faktach opowieść o Aleksandrze Macedońskim, który w IV wieku p.n.e. podbił większość ówczesnego świata i stworzył imperium rozciągające się od Grecji aż po Indie.",biography
takiego pieknego syna urodzilam,"Marcin Koszałka przedstawia swoich rodziców, niezadowolonych z obranej przez syna drogi życiowej. ",documentary
the dead pool,Inspektor Harry Callahan staje się jednym z obiektów gry ekipy filmowej. ,crime
dlug,"Dwaj przyjaciele chcą założyć własny interes, ale nie mogą zdobyć pieniędzy. Wkrótce staną się ofiarami szantażysty, który zażąda od nich spłaty wyimaginowanego długu.",drama
all dogs go to heaven 2,"Charlie Barkin powraca na Ziemię, aby odzyskać skradziony Róg Gabriela. ",animation
whiteout,"Po dwóch latach spędzonych na Antarktydzie znudzona policjantka, Carrie Stetko, dowiaduje się o zabójstwie naukowca. Chociaż cała załoga instytutu badawczego wraca do domu, ona postanawia zostać i rozwikłać zagadkę.",crime
terminator genisys,"Rok 2029. Walczący z cyborgami John Connor wysyła w przeszłość Kyle'a Reese'a, by uratował jego matkę przed terminatorem.",action
the legend of hercules,Oszukany przez ojczyma Herkules zostaje sprzedany w niewolę z powodu zakazanej miłości. ,fantasy
21,Wybitnie zdolni studenci prestiżowej uczelni dzięki wiedzy z zakresu matematyki wygrywają olbrzymie sumy w blackjacka. Tymczasem właściciele kasyn zabezpieczają się przed kolejnymi stratami. ,crime
"what happened, miss simone?","Dokument opowiada o wzlotach i upadkach amerykańskiej piosenkarki, Niny Simone.",biography
dip huet seung hung,"Płatny zabójca, Jeffrey, przyjmuje ostatnie zlecenie, aby opłacić operacje ukochanej.",crime
the class of 92,"Twórcy filmu ukazują historię pełną sukcesów jak i osobistych porażek sześciu legendarnych piłkarzy, którzy jako młodzi chłopcy dołączają do drużyny Manchesteru United. ",documentary
just visiting,W wyniku pomyłki czarnoksiężnika francuski rycerz Thibault oraz jego giermek André trafiają do współczesnego Chicago.,fantasy
dragonball: saikyo e no michi," Goku żyje sobie spokojnie w chatce swojego dziadka, do czasu, gdy poznaje Bulmę - dziewczynę, która, pragnąc zdobyć jego smoczą kule, postanawia zabrać go ze sobą na... ",adventure
the kings man," Najgorsi tyrani i zbrodniarze w historii spiskują, by wywołać wojnę, której ofiarą padną miliony ludzi. Tylko jeden człowiek może ich powstrzymać, o ile zdąży… Oto... ",action
do the right thing,Upalny dzień w ubogiej dzielnicy Brooklynu prowokuje napięcia pomiędzy mniejszościami etnicznymi.&nbsp;,drama
the possession,"Em kupuje na wyprzedaży antyczną skrzynkę, która ma na nią niepokojący wpływ. Wkrótce okazuje się, że dziewczynka jest opętana przez dybuka, złośliwego ducha zmarłej osoby.",horror
soul,"Joe Gardner prowadzi zespół muzyczny w gimnazjum. Jego prawdziwą pasją jest jednak jazz. Joe przeżywa kryzys - zaczyna zadawać sobie pytania: ""Po co tu jestem? Jaki jest cel mojego życia?"".",animation
amarcord,"Film jest zbiorem epizodów, których akcja rozgrywa się na prowincji w przedwojennych Włoszech. ",drama
kung fu panda 3,"Złoczyńca Kai niszczy Chiny, pokonując największych mistrzów kung-fu. Po ma za zadanie wyszkolić swoich współbraci i stworzyć drużynę niepokonanych Pand. ",animation
a midsummer nights dream," Ekranizacja sztuki Szekspira. Trwają przygotowania do ślubu toskańskiego księcia Tezeusza (David Strathairn) z Hipolitą (Sophie Marceau), której narzucona została wola... ",fantasy
black widow,"Natasha Romanoff / Czarna Wdowa, po wydarzeniach z filmu Kapitan Ameryka: Wojna bohaterów zmuszona jest do walki ze złoczyńcą nazywanym Taskmaster.",action
tma/svetlo/tma," Krótkometrażowy film Jana Svankmajera był wielokrotnie nagradzany na międzynarodowych festiwalach. Twórcy wspaniale operują animacją gliny, co sprawia, że obraz ma nieco... ",animation
crawl,Młoda kobieta próbuje ocalić rannego ojca podczas huraganu piątej kategorii. Ich życiu zagraża nadciągająca powódź i aligatory.,horror
star wars: the clone wars,"Syn Jabby Hutta zostaje porwany. Aby zapobiec przyłączeniu się gangstera do separatystów, władze Republiki wysyłają Anakina Skywalkera i jego nową uczennicę z misją ratunkową. ",animation
czuwaj,Podczas obozu harcerskiego ginie jeden z jego uczestników. Oboźny Jacek rozpoczyna prywatne śledztwo. ,thriller
the nines," Film opowiada trzy różne historie, które tylko pozornie nie są ze sobą związane. Poznajemy aktora, który gra w serialu Laboratorium zbrodni, dobrego scenarzystę, który... ",drama
bad boy,"Właściciel klubu piłkarskiego nie cofa się przed niczym, by&nbsp;zbudować drużynę mistrzów. Na szokujące skutki jego działań nie trzeba długo czekać.",thriller
the boss baby,W domu siedmioletniego Tima pojawia się dziwny braciszek. Udający bobasa szef-dzidziuś przybył na ziemię z tajemniczą misją. ,animation
kiss the girls,Alex Cross z pomocą niedoszłej ofiary stara się uwolnić swoją siostrzenicę&nbsp;z rąk psychopatycznego porywacza-mordercy. ,crime
luther,Historia 30 lat działalności Marcina Lutra opisuje jego wewnętrzne zmagania i transformację z prostego mnicha w przywódcę ruchu protestanckiego. ,biography
dwaj ludzie z szafa,"Dwaj mężczyźni przemierzają miasto, dźwigając szafę. ",short
mandy,"Pojawienie się demonicznego kultu zmienia beztroskie&nbsp;życie Mandy i Reda w surrealistyczny koszmar, z którego&nbsp;jedynym wyjściem jest brutalna zemsta.",horror
vatel,Majordomus księcia&nbsp;de Condé - Francois Vatel dostaje zadanie od arystokraty przygotowania trzydniowej uczty z okazji wizyty króla Ludwika XIV.,biography
eight legged freaks,W wyniku nieszczęśliwego zbiegu okoliczności małe górnicze miasteczko zostaje zaatakowane przez gigantyczne pająki.,horror
robocop 3,W celu stworzenia utopijnego miasta firma OCP wysiedla ludzi z domów. RoboCop postanawia się temu przeciwstawić.,thriller
im keller,"Dokument przedstawia różne zajęcia, których lokatorzy budynku podejmują się w swoich piwnicach.",documentary
nanny mcphee,Nowa opiekunka zmienia życie samotnego ojca oraz siedmiorga jego niesfornych dzieci.,family
death race 2000, Akcja filmu toczy się w niedalekiej przyszłości. Świat zafascynowany jest krwawymi i niebezpiecznymi wyścigami samochodowymi. Cieszą się one wielką popularnością. Ważnym... ,action
blitz,"Dwójka detektywów ściga zabójcę policjantów, który dzieli się planami swoich zbrodni z dziennikarzem, pragnąc rozgłosu.",crime
no way out,"W wyniku nieszczęśliwego wypadku wpływowy polityk zabija kochankę. Tuszując sprawę, jego doradca kieruje podejrzenia na domniemanego rosyjskiego szpiega.",thriller
rebel without a cause,"Zbuntowany młodzieniec przenosi się do nowego miasta, gdzie znajduje zarówno przyjaciół, jak i wrogów. ",drama
trance,"Pracownik domu aukcyjnego ukrywa skradziony, bezcenny obraz. W czasie ucieczki traci pamięć. Szef gangu wynajmuje dla niego terapeutkę, która ma mu pomóc odzyskać wspomnienia. ",crime
sammys avonturen: de geheime doorgang," Czyż nie byłoby cudownie podróżować po całym świecie? Sammy jest uroczym, małym żółwiem morskim. Nie jest superbohaterem, lecz zwyczajnym żółwiem, który przeżywa... ",animation
striptease,Była agentka FBI pracuje w klubie jako striptizerka.,thriller
twenty feet from stardom,Historie karier chórzystów występujących z najsławniejszymi gwiazdami muzyki.,documentary
haunter,"Duch zmarłej dziewczyny nawiedza nastolatkę, Olivię, którą chce ostrzec i uchronić przed złym losem. ",horror
the haunting,"Doktor antropologii z grupką współpracowników zamyka się w nawiedzonym domu, zamierzając udowodnić istnienie zjawisk paranormalnych.",horror
"8 rzeczy, ktorych nie wiecie o facetach","O pięć lat starsi, ale niekoniecznie dojrzalsi faceci znowu ruszają do akcji! ",comedy
the wolf of wall street,"Historia Jordana Belforta, brokera, którego błyskawiczna droga na szczyt i rozrzutny styl życia wzbudziły zainteresowanie FBI.",biography
populaire,"Młoda dziewczyna udaje się na rozmowę kwalifikacyjną do jednej z firm. Właściciel oferuje jej pracę pod warunkiem, że weźmie udział w zawodach maszynistek.",comedy
ted bundy,Ted Bundy przemierza kolejne stany zostawiając krwawe ślady na swym morderczym szlaku. ,biography
victor victoria,"Utalentowana śpiewaczka operowa zostaje zatrudniona jako odtwórczyni roli mężczyzny, który przebiera się za kobietę.",musical
dzien babci,"Podczas próby oszustwa na ""wnuczka"" Tomek zostaje zamknięty w mieszkaniu niedoszłej ofiary. Niespodziewanie kobieta proponuje mu układ. ",short
the gentlemen,"Handlarz marihuany postanawia sprzedać narkotykowe imperium i przejść na emeryturę. Pożegnanie z półświatkiem nie będzie jednak tak łatwe, jak mogło mu się wydawać.",crime
grumpier old men,John Gustafson oraz Max Goldman zakopują topór wojenny i planują wesele swoich dzieci. W międzyczasie starają się nie dopuścić do otwarcia włoskiej restauracji prowadzonej przez ponętną wdowę. ,comedy
the great debaters,Profesor Melvin Tolson wybiera czworo młodych ludzi spośród członków klubu dyskusyjnego. Wkrótce jego studenci stają do debat z przedstawicielami czołowych uniwersytetów w USA.,biography
cirque du freak: the vampires assistant,"Podczas pokazów dziwaków Darren kradnie zmutowanego pająka, który kąsa jego kolegę. Aby ocalić przyjaciela, chłopak podpisuję pakt z wampirem. ",fantasy
13 going on 30,Rozczarowana życiem trzynastolatka pragnie być dorosła. Jej marzenie się spełnia.,fantasy
cabin fever,"Grupa znajomych przyjeżdża do małego domku w górach. Sielanka kończy się, kiedy do ich drzwi puka mężczyzna z twarzą pokrytą krwawymi wrzodami.",horror
despicable me 2,"Tajemniczy złoczyńca zamienia słodkie Minionki w paskudne potwory, które pożerają wszystko, co stanie im na drodze. Gru musi je uratować. ",animation
triple frontier,"Byli żołnierze sił specjalnych, którzy ledwo wiążą koniec z końcem, postanawiają ukraść 75 milionów dolarów południowoamerykańskiemu baronowi narkotykowemu.",crime
21 grams,"Tragiczny wypadek sprawia, że losy trzech rodzin, nie mających pozornie ze sobą nic wspólnego, łączą się.",crime
ghosts of mars,"Podczas transportu groźnego przestępcy oddział dowodzony przez porucznik Ballard trafia na duchy kosmicznych wojowników, które zrobią wszystko, by pozbyć się nieproszonych gości. ",horror
love &amp; mercy,"Lider zespołu Beach Boys przechodzi załamanie nerwowe, kiedy próbuje stworzyć awangardowe arcydzieło muzyczne. ",biography
bratz,"Kiedy cztery najlepsze przyjaciółki rozpoczynają pierwszy rok w nowej szkole, ich relacje zostają wystawione na próbę.&nbsp;",family
cut bank,"Marzący o wyprowadzce z małego miasteczka Dwayne zostaje świadkiem morderstwa, które&nbsp;przypadkiem&nbsp;nagrywa.",thriller
cale szczescie,"W życie spokojnego muzyka z orkiestry symfonicznej,&nbsp;samotnie wychowujacego dziesięcioletniego synka, niespodziewanie wbiega pełna energii popularna gwiazda fitness.",comedy
blackfish,Orka Tilikum&nbsp;jest odpowiedzialna za śmierć trzech osób. Dokument pokazuje skutki zamknięcia w niewoli tak inteligentnych i wrażliwych stworzeń.,documentary
batman,"Tajemniczy mściciel pojawia się na ulicach Gotham, aby podjąć walkę z przestępcami. Pomaga mu w tym znana dziennikarka Vicki Vale.",action
atlantis: the lost empire,"Milo Thatch wyrusza w podróż, by odnaleźć zaginioną Atlantydę. ",animation
what dreams may come,"Po tragicznej śmierci dzieci Annie popełnia samobójstwo, za co trafia do Piekła. Po śmierci jej mąż budzi się w Niebie, skąd wyrusza w podróż, by ją odnaleźć. ",fantasy
sound of noise,"Głuchy na wszelkiego typu muzykę policjant tropi partyzancką grupę perkusistów, którzy swoimi nietypowymi koncertami terroryzują miasto.",music
vacation,"Rodzina Griswoldów wyrusza w samochodową podróż przez Stany Zjednoczone, której celem jest park rozrywki. ",comedy
a fei zheng chuan,"Yuddy dowiaduje się, że kobieta, która go wychowała, nie jest jego prawdziwą matką. Szuka pocieszenia w jednonocnych przygodach miłosnych.",crime
silent hill,"Rose zabiera swoją 12-letnią córkę do tajemniczego miasteczka Silent Hill, którego nazwę od jakiegoś czasu dziewczynka wykrzykuje podczas snu. ",horror
the wash,"Dwóch współlokatorów, którzy razem pracują w myjni samochodowej, musi uratować porwanego szefa aby zachować pracę.",comedy
klimt," Portret austriackego artysty Gustava Klimta, którego niezwykłe obrazy stały się symbolem stylu art nouveau końca XIX i początku XX wieku. ",biography
unthinkable,Dwójka agentów stara się odnaleźć bomby podłożone przez byłego eksperta nuklearnego. ,thriller
kill bill: vol. 2,"Czarna Mamba kontynuuje swoją krwawą zemstę na byłym szefie Billu i jego współpracownikach, którzy zniszczyli jej życie.",thriller
all about steve,"Mary i Steven zostają umówieni przez rodziców na randkę w ciemno. Ona jest pewna, że spotkała mężczyznę swojego życia, on jest przekonany, że ma do czynienia z wariatką.",comedy
kaidan,Cztery różne historie oparte na opowiadaniach Lafcadio Hearna ukazują przenikający się świat ludzi i duchów w realiach feudalnej Japonii. ,fantasy
battle of the bulge,"Rekonstrukcja jednej z największych bitew podczas drugiej wojny światowej, w której&nbsp;starły&nbsp;się armie nazistów i aliantów.",drama
wild,"Młoda kobieta postanawia uporać się ze śmiercią matki i rozpadem małżeństwa, wyruszając w pieszą wędrówkę obejmującą tysiąc mil. ",biography
bai ri yan huo,"Pogrążony w nałogu alkoholowym Zhang Zili wpada na nowy trop starej sprawy - okazuje się, że wszystko łączy się z jedną kobietą. ",crime
moonwalker," Wyprodukowany w 1988 roku pełnometrażowy film, prezentujący fragmenty koncertu Michaela Jacksona oraz serię fabuł fantasy z Michaelem Jacksonem w roli głównej. Film... ",sci-fi
step brothers,Po ślubie swoich rodziców dwóch mężczyzn w średnim wieku zostaje przyrodnimi braćmi i współlokatorami.,comedy
you dont know jack,Lata 90. XX wieku. Amerykański lekarz toczy walkę o legalizację eutanazji. ,biography
transporter 2,Porywacze uprowadzają sześcioletniego syna kongresmena. Były komandos musi odnaleźć chłopca oraz nie dopuścić do rozprzestrzenienia się groźnego wirusa. ,action
my soul to take,"Szesnaście lat po krwawej jatce psychicznie chory mężczyzna powraca do swojego miasteczka, aby siać spustoszenie. ",horror
rio 2,"Blu i Jewel razem z potomstwem postanawiają przeprowadzić się do Amazonii, by nauczyć dzieci jak powinny żyć prawdziwe ptaki.",animation
u.s. marshals,"Były pracownik CIA, skazany za podwójne morderstwo, ucieka podczas transportu do więzienia. Jego śladem rusza elitarna jednostka policyjna. ",thriller
barb wire,Żyleta otrzymuje zadanie przetransportowania do Kanady badaczki posiadającej lek przeciwko groźnej broni biologicznej. ,thriller
hibernatus,"W bryle lodu zostaje odkryty zamarznięty przed wielu laty człowiek. Aby zaoszczędzić szoku odmrożonemu, lekarze postanawiają utrzymać go w przekonaniu, że jest rok 1905. ",comedy
nosferatu: phantom der nacht,Jonathan otrzymuje od hrabiego Draculi list z prośbą o rychły przyjazd do Transylwanii. Tymczasem jego żona ma złe przeczucia. ,horror
15 minutes,"Dwóch morderców z Europy Wschodniej przybywa do Nowego Jorku. Gdy ich były wspólnik nie wydaje im należnych pieniędzy, zabijają go i jego dziewczynę. ",crime
payback,Zdradzony przez wspólnika złodziej planuje srogą zemstę oraz odzyskanie utraconych pieniędzy z napadu. ,thriller
ostatnia gora,"Grupa kilkunastu wspinaczy próbuje dokonać historycznego, zimowego wejścia na K2.",documentary
skinwalkers,"Strzeżony przez bliskich mały Timothy nie wie, że jest elementem przepowiedni, według której zadecyduje o losie wilkołaków.",horror
bad samaritan,Podczas włamania do domu milionera złodziej odnajduje kobietę przetrzymywaną wbrew jej woli. ,thriller
21 jump street,Dwóch policjantów dostaje za zadanie wrócić do liceum i rozpracować dealerów narkotyków.,action
the time machine,"Rok 1900, angielski wynalazca buduje wehikuł czasu i podróżuje do dalekiej przyszłości, gdzie odkrywa, że ludzkość podzieliła się na dwa wrogie gatunki.",adventure
the boy who harnessed the wind, Nieszablonowo myślący chłopiec szuka sposobu na uratowanie swojej wioski w Malawi przed głodem.,drama
snow dogs,"Ceniony dentysta dowiaduje się, że otrzymał w spadku zaprzęg ośmiu psów. Zwierzaki sprawiają nowemu panu wiele kłopotów. ",family
at middleton,"Edith przyjeżdża z córką do Middleton, by zwiedzić potencjalną dla niej uczelnię - podobnie jak George i jego syn. Pomiędzy rodzicami rodzi się miłość.",romance
"extremely wicked, shockingly evil and vile","Kronika zbrodni Teda Bundy'ego z perspektywy jego długoletniej dziewczyny Liz Kendall, która nie wierzyła w prawdę o nim.",biography
giu la testa,"Ekspert od materiałów wybuchowych i rabuś stają na czele rewolucji, która ma obalić władze Meksyku.",western
sleeping with other people,"Jake to nałogowy kobieciarz, a Lainey uzależniła się od niewłaściwego faceta. Na kilometr widać, że są dla siebie stworzeni. Gdyby tylko przestali sypiać z innymi... ",comedy
"10,000 bc",Grupa tajemniczych wojowników porywa ukochaną D'Leha. Młody myśliwy wyrusza na ratunek dziewczynie. ,adventure
runaway jury,"Wdowa oskarża producenta broni o śmierć męża, który zginął w strzelaninie. ",drama
the island,"Połowa XXI wieku. Kiedy Lincoln Sześć Echo i Jordan Dwa Delta mieszkający w zamkniętym ośrodku orientują się, że są oszukiwani, postanawiają uciec.",action
a linterieur,Sarah spodziewa się dziecka. Dzień przed planowanymi narodzinami nachodzi ją upiorna kobieta z morderczymi zamiarami.,horror
diamonds are forever,"Uwagę brytyjskiego wywiadu zwraca wzrost przemytu diamentów. Śledztwo agenta 007 wiedzie do Blofelda i laserowego generatora, który został umieszczony na orbicie.",thriller
the dawn wall,"Dwóch wspinaczy zamieszkało na 900-metrowej pionowej ścianie Dawn Wall na dziewiętnaście dni, wzbudzając przy okazji szalone zainteresowanie światowych mediów.",documentary
indignation," Zrealizowany na podstawie słynnej powieści Philipa Rotha film ""Wzburzenie - opowieść o dojrzewaniu"" ukazuje losy Marcusa Messnera (Logan Lerman), wzorowego ucznia i... ",drama
1492: conquest of paradise,"Rok 1492, Krzysztof Kolumb wyrusza w podróż pod patronatem hiszpańskiej królowej Izabeli. Cel wyprawy to odnalezienie drogi morskiej do Indii.",biography
the knight before christmas,Średniowieczny rycerz trafia do czasów współczesnych i zakochuje się w nauczycielce.,fantasy
madagascar,"Lew, zebra, hipopotam i żyrafa zostają wysłane statkiem z nowojorskiego zoo do Afryki. Pośrodku oceanu ich klatki wypadają za burtę pokładu, w wyniku czego zwierzęta lądują na brzegu egzotycznej wyspy.",animation
wild at heart,"Młodzi kochankowie, Sailor i Lula, uciekają przed bandą zbirów, których matka dziewczyny wynajęła do zabicia jej towarzysza.",crime
tracers,"Mieszkający w Nowym Jorku kurier Cam jest poszukiwany przez mafię z powodu zadłużeń. Rozbija swój rower i spotyka piękną nieznajomą, która zabiera go do świata parkoura. ",action
spider-man 3,"Kostium Spider-Mana łączy się z substancją z kosmosu i zmienia kolor na czarny. Nowy strój daje Parkerowi olbrzymią siłę, ale też odkrywa mroczną stronę jego osobowości.",action
monsters university,"Historia początku przyjaźni między Jamesem P. Sullivanem i Mikiem Wazowskim, którzy razem uczestniczyli w zajęciach Uniwersytetu Potwornego.",animation
forever young,"Rok 1939. Po stracie ukochanej&nbsp;amerykański pilot bierze udział w eksperymencie i poddaje się hibernacji. Ponad 50 lat później zostaje znaleziony przez dwóch chłopców, którzy przypadkowo przywracają go do życia.",romance
shark tale,"Wskutek nieporozumienia Oskar zostaje okrzyknięty mianem Pogromcy Rekinów. Mimo iż jest małą rybką, nie próbuje wyjaśnić pomyłki, tylko brnie dalej w kłamstwa.",animation
pale rider,"Do osady prześladowanej przez górniczego potentata przybywa kaznodzieja, który staje w obronie nękanych mieszkańców. ",western
the order,"Syn zaginionego archeologa, poszukując ojca, przypadkowo wpada na trop średniowiecznej sekty religijnej.",action
what women want,"Nick Marshall jest typowym kobieciarzem. Pewnego dnia ulega wypadkowi, po którym słyszy myśli kobiet.",comedy
a wrinkle in time,"Po zniknięciu naukowca trzy osobliwe istoty wysyłają dziewczynę, jej brata i przyjaciółkę w kosmos, aby go odnaleźć.",family
